id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,Riesgo de rotacion,Riesgo de despido,Riesgo de renuncia
1,6,7,3,1,9,18,14,7,17,8.8,medio,medio,alto
2,5,1,10,2,0,15,7,22,6,4.4,medio,alto,alto
3,4,2,1,13,7,0,5,28,1,4.8,medio,alto,alto
4,7,3,12,11,10,0,11,11,10,6.9,medio,medio,alto
5,10,7,6,12,2,7,6,2,11,9.9,bajo,bajo,medio
6,5,6,7,11,9,23,4,7,14,9.3,medio,medio,alto
7,4,1,7,8,3,25,13,10,8,5.5,medio,alto,alto
8,6,2,8,12,3,11,5,10,11,6.6,medio,medio,alto
9,6,4,9,6,0,11,6,5,3,6.5,bajo,bajo,medio
10,8,4,13,8,6,19,10,17,1,9.3,medio,medio,alto
11,3,2,5,2,6,12,12,28,9,4.2,alto,alto,alto
12,4,8,6,7,9,26,12,10,19,9.3,alto,alto,alto
13,8,4,7,4,10,5,15,19,10,8.2,alto,alto,alto
14,5,8,6,5,8,15,0,27,19,8.8,alto,alto,alto
15,5,4,5,8,3,10,6,11,19,6.3,medio,medio,alto
16,3,5,6,11,0,9,14,26,20,5.2,alto,alto,alto
17,4,4,12,13,8,25,13,21,10,7.8,alto,alto,alto
18,8,3,5,15,4,18,2,22,6,9.6,medio,bajo,alto
19,7,2,10,3,7,15,6,6,20,6.7,medio,medio,alto
20,10,5,15,16,0,6,6,17,12,9.7,medio,medio,alto
21,8,9,5,7,3,9,0,29,3,9.8,medio,bajo,alto
22,1,3,9,0,5,15,14,8,11,4.0,alto,alto,alto
23,8,2,6,7,0,12,14,6,0,7.9,bajo,bajo,medio
24,6,2,7,3,0,2,9,24,7,4.6,medio,alto,alto
25,5,5,5,16,5,7,5,17,11,7.8,medio,medio,alto
26,5,1,11,16,5,14,0,9,8,5.9,bajo,medio,medio
27,6,2,4,11,5,0,7,27,2,5.6,medio,alto,alto
28,9,1,7,8,1,0,9,28,9,6.9,alto,alto,alto
29,7,3,5,9,4,10,7,6,14,7.9,medio,medio,alto
30,7,7,6,10,7,0,6,28,15,9.0,alto,alto,alto
31,6,3,5,13,0,23,2,11,5,8.7,bajo,bajo,medio
32,8,5,5,4,3,20,0,27,11,9.5,medio,medio,alto
33,9,4,6,10,3,11,10,19,0,9.5,medio,medio,alto
34,9,2,11,6,0,12,4,24,1,8.3,bajo,bajo,alto
35,6,3,11,16,7,10,4,14,19,7.7,medio,medio,alto
36,9,1,5,10,4,11,3,11,11,8.8,bajo,bajo,alto
37,4,6,10,2,5,7,15,29,13,5.0,alto,alto,alto
38,5,2,7,11,6,27,1,24,8,7.8,medio,medio,alto
39,7,2,5,10,2,23,8,1,14,8.8,bajo,bajo,alto
40,4,7,3,9,3,12,10,0,1,7.6,bajo,bajo,bajo
41,9,4,9,6,1,14,6,7,20,9.3,medio,medio,alto
42,10,3,7,17,4,0,11,9,11,9.5,medio,medio,alto
