id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas
1,6,7,3,1,9,18,14,7,17
2,5,1,10,2,0,15,7,22,6
3,4,2,1,13,7,0,5,28,1
4,7,3,12,11,10,0,11,11,10
5,10,7,6,12,2,7,6,2,11
6,5,6,7,11,9,23,4,7,14
7,4,1,7,8,3,25,13,10,8
8,6,2,8,12,3,11,5,10,11
9,6,4,9,6,0,11,6,5,3
10,8,4,13,8,6,19,10,17,1
11,3,2,5,2,6,12,12,28,9
12,4,8,6,7,9,26,12,10,19
13,8,4,7,4,10,5,15,19,10
14,5,8,6,5,8,15,0,27,19
15,5,4,5,8,3,10,6,11,19
16,3,5,6,11,0,9,14,26,20
17,4,4,12,13,8,25,13,21,10
18,8,3,5,15,4,18,2,22,6
19,7,2,10,3,7,15,6,6,20
20,10,5,15,16,0,6,6,17,12
21,8,9,5,7,3,9,0,29,3
22,1,3,9,0,5,15,14,8,11
23,8,2,6,7,0,12,14,6,0
24,6,2,7,3,0,2,9,24,7
25,5,5,5,16,5,7,5,17,11
26,5,1,11,16,5,14,0,9,8
27,6,2,4,11,5,0,7,27,2
28,9,1,7,8,1,0,9,28,9
29,7,3,5,9,4,10,7,6,14
30,7,7,6,10,7,0,6,28,15
31,6,3,5,13,0,23,2,11,5
32,8,5,5,4,3,20,0,27,11
33,9,4,6,10,3,11,10,19,0
34,9,2,11,6,0,12,4,24,1
35,6,3,11,16,7,10,4,14,19
36,9,1,5,10,4,11,3,11,11
37,4,6,10,2,5,7,15,29,13
38,5,2,7,11,6,27,1,24,8
39,7,2,5,10,2,23,8,1,14
40,4,7,3,9,3,12,10,0,1
41,9,4,9,6,1,14,6,7,20
42,10,3,7,17,4,0,11,9,11
43,1,3,12,5,0,4,14,15,15
44,4,1,10,12,0,4,6,17,15
45,7,2,8,11,3,7,15,11,1
46,5,2,5,0,8,1,15,21,9
47,7,8,8,7,6,6,14,17,5
48,8,1,8,19,5,3,9,27,17
49,3,4,7,10,2,10,10,1,6
50,5,6,10,6,3,5,15,26,1
51,6,5,7,4,4,5,9,4,18
52,6,4,8,13,2,35,4,30,3
53,4,5,8,5,9,1,1,27,13
54,7,5,12,4,2,1,7,11,10
55,7,7,12,15,11,4,1,4,9
56,7,3,11,11,8,0,13,10,18
57,3,5,5,9,5,0,10,16,17
58,3,3,5,0,12,9,9,11,3
59,10,3,6,7,3,10,10,9,6
60,8,4,9,10,0,4,1,27,2
61,5,4,6,5,3,16,12,5,8
62,7,2,8,7,0,32,7,27,15
63,5,5,8,6,9,7,12,14,9
64,4,6,6,4,7,0,0,30,8
65,6,3,5,4,8,18,14,20,9
66,7,6,5,12,10,0,2,18,10
67,2,2,15,11,3,2,8,6,15
68,9,3,9,16,8,0,10,2,2
69,9,1,3,13,3,23,12,21,6
70,10,2,9,5,8,11,7,18,10
71,10,1,9,15,3,19,4,13,4
72,5,5,9,3,0,2,12,1,7
73,2,3,13,11,7,0,4,15,17
74,8,5,12,3,0,12,15,20,16
75,6,1,9,12,0,5,2,15,3
76,3,1,11,11,3,7,11,7,16
77,6,5,10,11,0,10,0,16,8
78,6,3,6,6,10,21,10,25,19
79,4,4,5,10,8,16,10,30,6
80,5,5,5,8,11,2,4,8,19
81,8,4,4,15,7,7,3,12,3
82,4,2,6,20,5,7,10,18,8
83,7,4,10,6,5,10,2,13,1
84,6,4,9,4,9,8,0,4,1
85,8,5,2,6,9,20,15,25,11
86,10,2,10,8,0,20,8,17,4
87,4,2,7,14,5,17,13,0,7
88,6,3,4,11,8,4,5,10,10
89,8,5,8,6,4,5,0,27,18
90,6,1,5,2,4,7,14,22,2
91,5,1,9,7,3,3,7,23,6
92,8,5,10,8,3,12,12,22,18
93,8,3,5,5,0,12,12,6,20
94,10,1,10,10,6,0,14,9,19
95,7,4,5,5,3,22,1,30,11
96,9,3,7,5,7,13,3,11,0
97,8,2,4,9,4,15,4,26,14
98,4,1,13,15,4,10,10,17,0
99,6,1,7,14,6,23,12,17,5
100,4,1,5,5,2,19,9,29,12
101,6,3,9,5,0,0,6,16,5
102,4,3,6,3,6,10,9,1,18
103,7,2,4,1,0,9,5,2,16
104,4,1,8,7,0,4,15,1,14
105,5,2,13,2,0,0,12,6,5
106,7,4,8,14,2,5,8,1,16
107,5,3,8,10,9,5,6,8,12
108,9,4,1,16,5,16,0,16,4
109,5,1,4,1,13,23,15,8,8
110,8,9,11,3,1,19,4,30,11
111,5,6,6,8,11,13,0,11,19
112,5,3,9,6,5,8,10,10,15
113,5,1,11,2,6,11,1,20,8
114,5,5,5,11,6,5,6,24,4
115,1,6,8,4,8,12,6,22,12
116,8,3,3,8,8,10,12,27,16
117,7,7,12,0,7,5,1,5,17
118,5,2,8,12,4,4,13,2,5
119,7,4,9,9,0,18,6,19,19
120,7,6,12,12,0,7,7,25,9
121,6,1,7,0,7,22,8,29,1
122,6,3,10,8,9,12,7,8,10
123,7,5,9,18,5,20,11,8,15
124,7,2,5,9,6,0,6,0,2
125,6,1,6,5,0,0,10,29,8
126,6,4,6,13,4,2,11,18,9
127,5,2,9,17,0,26,6,7,2
128,9,1,6,4,1,13,10,7,9
129,6,7,8,10,3,0,10,11,10
130,2,2,9,10,3,2,0,8,8
131,5,3,12,3,12,22,13,27,19
132,7,3,13,1,2,9,3,9,17
133,8,5,6,9,6,2,1,10,17
134,7,1,8,6,6,11,12,19,16
135,6,1,5,6,12,22,10,8,0
136,7,7,12,0,10,12,0,4,10
137,4,3,5,9,0,17,10,15,13
138,4,1,3,0,7,6,7,19,12
139,7,4,5,3,11,9,14,8,15
140,6,5,4,10,5,2,12,10,13
141,8,7,4,14,0,15,12,3,10
142,4,1,2,21,3,0,14,4,2
143,7,5,7,0,3,15,11,21,7
144,7,3,4,8,4,8,5,3,16
145,5,5,8,8,0,16,7,1,7
146,6,4,4,11,4,2,11,9,6
147,9,2,5,12,1,14,0,9,2
148,5,4,7,5,7,0,14,16,10
149,6,1,8,0,7,9,13,25,13
150,6,7,6,9,7,3,9,26,16
151,8,2,6,4,3,0,8,13,19
152,6,4,9,15,4,16,11,8,4
153,5,1,13,6,2,9,14,8,4
154,5,1,4,4,4,5,6,19,6
155,7,6,7,8,7,24,0,13,18
156,7,2,10,9,5,14,3,13,7
157,6,3,7,6,4,15,6,9,12
158,9,4,5,10,2,1,5,13,14
159,6,3,4,2,8,3,8,20,16
160,6,1,4,4,4,13,15,1,17
161,7,6,4,7,5,0,11,8,3
162,7,3,7,6,6,15,15,2,18
163,5,5,5,11,0,16,8,20,20
164,6,1,9,13,3,8,13,23,14
165,9,3,8,2,2,19,2,25,12
166,3,1,3,4,4,19,12,13,10
167,4,5,14,11,5,19,12,0,12
168,6,4,13,10,9,31,9,22,5
169,8,7,7,3,6,7,14,29,12
170,7,6,7,11,12,10,5,21,19
171,8,3,7,7,4,12,10,25,15
172,5,3,12,6,3,17,5,25,16
173,6,4,4,8,2,14,11,5,4
174,3,5,6,8,0,3,13,12,2
175,6,5,6,3,3,0,11,6,0
176,9,7,12,6,5,0,13,5,18
177,6,3,8,0,0,19,4,7,11
178,7,3,3,16,0,12,11,3,6
179,9,5,3,13,4,8,7,8,0
180,6,7,6,0,6,5,5,3,0
181,7,3,2,4,7,5,10,21,10
182,3,5,10,4,3,8,11,16,4
183,6,3,9,10,10,26,9,10,3
184,7,6,7,21,11,9,1,9,0
185,6,1,9,13,8,10,12,27,18
186,10,1,13,12,2,22,15,21,10
187,4,3,15,6,5,26,14,28,9
188,7,2,5,11,7,0,1,14,3
189,6,4,4,8,5,14,7,18,4
190,2,6,7,18,1,4,1,1,16
191,8,3,8,5,6,8,3,13,9
192,7,4,6,6,6,11,9,8,20
193,4,9,6,9,2,14,14,28,20
194,8,4,4,9,6,9,6,2,15
195,5,2,5,5,10,7,11,8,1
196,7,5,1,9,10,12,7,26,14
197,8,1,9,14,7,0,2,9,4
198,2,1,6,2,2,12,11,22,14
199,7,2,11,0,0,9,10,28,18
200,5,2,7,7,7,12,3,10,1
201,4,1,8,3,3,18,3,27,2
202,5,3,4,7,8,0,10,1,15
203,7,4,11,6,3,10,9,0,11
204,7,2,12,6,0,15,14,24,11
205,7,2,8,4,3,21,5,7,12
206,7,3,4,4,0,14,8,28,6
207,7,3,7,10,6,6,1,19,10
208,5,6,8,11,7,19,14,13,5
209,8,5,9,4,11,0,0,22,0
210,7,3,9,0,7,18,5,29,14
211,7,4,10,17,3,0,9,16,13
212,6,5,5,0,0,15,3,18,3
213,7,4,8,6,0,4,7,24,0
214,8,5,10,7,6,11,5,18,0
215,10,7,7,0,5,3,7,13,17
216,6,2,4,0,6,4,12,9,2
217,3,4,5,16,5,26,2,11,2
218,5,4,5,10,0,2,3,7,0
219,7,3,4,9,2,15,5,30,2
220,9,4,10,15,6,14,12,14,9
221,8,5,10,16,5,16,13,6,12
222,9,7,9,5,2,15,10,30,20
223,4,5,7,11,5,16,13,5,13
224,4,8,10,6,3,7,11,23,4
225,8,3,13,6,5,3,3,21,11
226,5,2,8,0,16,20,10,21,1
227,5,2,9,9,3,1,8,8,13
228,9,2,8,0,0,0,11,16,10
229,9,5,9,0,0,10,1,28,17
230,6,2,15,13,2,10,1,26,18
231,8,4,4,8,1,10,8,9,14
232,6,1,10,9,1,6,3,15,5
233,6,4,9,5,9,23,12,27,19
234,5,1,6,0,0,7,7,29,11
235,5,3,6,9,0,14,13,14,10
236,10,1,7,12,7,0,0,24,3
237,8,2,9,10,9,16,3,21,7
238,4,5,9,12,1,2,6,22,18
239,5,1,12,13,8,13,5,22,8
240,6,3,2,9,6,0,0,21,8
241,3,2,12,2,5,0,0,16,0
242,5,3,10,23,5,15,8,7,12
243,10,1,3,13,0,15,4,30,7
244,9,7,5,0,0,8,0,22,15
245,5,4,5,1,4,0,2,17,6
246,6,6,10,2,2,7,4,14,18
247,7,2,9,11,9,18,14,1,17
248,8,4,6,9,4,15,3,18,6
249,3,6,8,16,7,23,5,3,0
250,7,4,10,8,6,20,15,7,10
251,4,7,8,0,6,5,12,3,17
252,4,3,1,14,0,8,2,19,19
253,10,5,3,3,9,14,11,10,17
254,4,3,6,10,9,5,3,25,18
255,6,3,9,17,6,17,14,26,15
256,7,1,5,5,0,9,2,6,20
257,4,4,5,13,4,0,6,4,9
258,4,2,9,2,3,18,11,25,13
259,6,5,4,4,1,6,8,11,4
260,9,4,2,12,11,24,7,15,5
261,5,6,8,7,1,18,2,10,10
262,7,2,8,10,5,4,0,22,11
263,6,5,7,13,2,10,13,27,9
264,10,6,6,2,5,0,10,17,2
265,7,1,11,8,0,14,5,15,17
266,4,1,10,14,9,4,4,20,0
267,8,4,8,9,2,15,4,26,13
268,5,1,6,13,2,12,2,19,1
269,5,1,2,5,3,12,0,0,3
270,7,3,1,13,5,12,15,22,5
271,7,4,8,3,3,0,6,2,19
272,2,6,12,6,8,14,10,12,4
273,6,4,11,14,4,18,2,26,20
274,6,2,10,4,0,17,8,6,17
275,3,3,6,2,8,2,3,13,17
276,8,4,1,6,6,7,14,24,8
277,7,2,10,10,6,17,14,8,12
278,9,3,9,0,3,3,1,18,5
279,4,9,9,8,2,14,13,25,12
280,1,3,6,10,2,7,5,24,13
281,8,4,11,15,11,1,0,30,1
282,3,5,10,15,3,4,6,7,16
283,2,6,10,7,10,19,7,22,18
284,4,4,11,4,1,10,3,24,16
285,6,1,8,0,6,8,0,7,10
286,1,4,10,5,0,25,14,7,1
287,4,3,3,3,9,7,1,28,9
288,8,4,6,9,1,10,3,18,17
289,2,6,9,3,7,24,0,27,13
290,7,2,6,10,9,18,0,30,15
291,2,4,11,2,6,0,15,17,20
292,8,2,13,13,7,19,6,25,19
293,5,2,11,11,1,0,9,5,20
294,7,3,3,8,10,0,7,2,18
295,7,5,4,18,6,20,10,27,20
296,4,2,6,16,6,0,10,4,0
297,5,1,5,0,4,10,6,13,16
298,5,4,7,9,3,4,10,28,11
299,3,5,5,15,9,14,8,12,12
300,3,5,6,8,9,6,0,13,3
301,9,6,7,12,0,6,1,13,15
302,8,6,13,10,7,19,0,7,13
303,9,5,6,0,5,16,13,26,3
304,5,2,7,4,4,18,2,22,15
305,2,8,9,8,4,7,15,0,10
306,8,1,7,1,7,6,0,21,4
307,6,5,4,0,7,7,12,10,16
308,5,2,3,4,7,19,13,27,3
309,3,7,5,5,3,3,0,8,19
310,8,7,7,5,7,0,12,27,0
311,5,4,7,0,3,0,2,17,12
312,6,1,12,10,4,12,13,14,8
313,5,2,6,8,4,17,14,6,0
314,8,5,3,18,0,0,14,17,13
315,2,1,8,12,0,14,6,12,11
316,9,2,10,14,6,11,11,26,10
317,8,1,9,3,3,21,13,14,9
318,7,6,12,15,8,18,7,13,2
319,6,6,4,3,5,13,5,2,1
320,8,5,14,6,5,12,9,1,8
321,7,3,4,7,8,16,0,14,3
322,8,1,5,9,4,25,7,18,13
323,10,3,8,5,6,30,15,22,12
324,5,4,2,3,4,3,1,12,5
325,2,5,7,14,6,17,7,4,5
326,9,2,6,13,2,14,4,3,3
327,6,3,10,7,8,0,2,1,8
328,1,4,3,11,3,9,3,29,18
329,7,4,7,7,0,0,8,27,7
330,8,2,13,1,0,5,6,11,12
331,5,2,4,2,3,11,15,23,16
332,8,4,11,0,5,0,3,6,0
333,3,4,6,13,6,8,3,24,16
334,4,6,13,11,8,10,14,27,11
335,6,4,5,11,9,15,8,18,19
336,8,8,10,7,14,29,10,0,4
337,9,3,9,11,10,1,5,12,3
338,8,3,12,13,3,0,3,6,2
339,6,4,6,5,6,0,4,27,20
340,6,6,3,3,0,5,10,29,13
341,5,5,6,9,0,18,8,13,20
342,6,8,2,12,5,13,2,27,18
343,6,5,7,8,0,7,7,19,3
344,7,5,11,4,6,0,2,27,14
345,5,5,12,10,0,21,15,6,6
346,5,5,7,2,0,7,12,19,17
347,9,7,11,13,5,9,14,15,12
348,8,2,1,2,9,0,0,1,4
349,8,4,3,3,3,13,4,17,14
350,6,3,2,11,8,20,10,2,6
351,5,5,10,17,3,4,9,13,9
352,4,3,6,11,1,11,3,5,2
353,5,2,6,7,6,0,1,28,6
354,6,5,6,3,1,10,3,29,13
355,7,3,8,0,7,1,4,17,6
356,9,3,7,0,3,5,5,2,4
357,2,5,9,8,12,10,6,12,2
358,10,2,9,11,3,19,3,8,1
359,5,5,9,0,8,14,15,6,1
360,6,2,6,12,8,13,10,10,12
361,6,5,5,8,4,19,9,16,12
362,10,7,4,9,7,9,12,20,14
363,5,3,8,7,15,1,8,0,17
364,6,3,10,3,7,14,14,4,6
365,4,8,3,10,8,16,11,20,10
366,4,5,2,9,7,6,3,15,10
367,4,4,7,10,5,5,9,2,7
368,3,6,10,0,1,25,5,9,14
369,3,4,6,7,2,18,8,20,18
370,4,6,6,1,3,11,6,8,12
371,5,1,10,5,0,10,15,4,19
372,8,1,9,17,5,0,8,20,3
373,7,1,11,11,6,7,13,11,2
374,5,6,6,7,8,23,8,20,9
375,7,1,6,15,0,23,15,4,4
376,7,3,9,10,7,9,5,9,18
377,7,3,9,6,4,0,2,3,5
378,7,3,3,2,3,23,0,14,18
379,6,7,14,6,3,12,0,14,19
380,8,5,6,0,12,14,10,2,19
381,7,3,7,14,4,7,15,27,3
382,6,5,1,10,0,9,0,8,20
383,6,3,1,2,6,17,1,23,20
384,7,3,9,2,6,10,2,0,14
385,9,2,5,11,3,12,10,8,9
