id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,rendimiento_futuro_predicho
1,6,7,3,1,9,18,14,7,17,8.8,7.766411507936503
2,5,1,10,2,0,15,7,22,6,4.4,4.802327038239537
3,4,2,1,13,7,0,5,28,1,4.8,4.818161435786438
4,7,3,12,11,10,0,11,11,10,6.9,6.942496825396821
5,10,7,6,12,2,7,6,2,11,9.9,9.758378571428569
6,5,6,7,11,9,23,4,7,14,9.3,8.924243993506492
7,4,1,7,8,3,25,13,10,8,5.5,6.025606349206349
8,6,2,8,12,3,11,5,10,11,6.6,6.310925000000001
9,6,4,9,6,0,11,6,5,3,6.5,6.74478282828283
10,8,4,13,8,6,19,10,17,1,9.3,9.330687950937948
11,3,2,5,2,6,12,12,28,9,4.2,4.322828769841273
12,4,8,6,7,9,26,12,10,19,9.3,8.639511721611722
13,8,4,7,4,10,5,15,19,10,8.2,8.060258608058609
14,5,8,6,5,8,15,0,27,19,8.8,7.673559539072037
15,5,4,5,8,3,10,6,11,19,6.3,5.953555284992786
16,3,5,6,11,0,9,14,26,20,5.2,5.184188583638584
17,4,4,12,13,8,25,13,21,10,7.8,7.476609145021646
18,8,3,5,15,4,18,2,22,6,9.6,9.374080753968256
19,7,2,10,3,7,15,6,6,20,6.7,6.825494047619052
20,10,5,15,16,0,6,6,17,12,9.7,9.481329975579978
21,8,9,5,7,3,9,0,29,3,9.8,9.576627092352085
22,1,3,9,0,5,15,14,8,11,4.0,4.503709126984129
23,8,2,6,7,0,12,14,6,0,7.9,8.318031547619054
24,6,2,7,3,0,2,9,24,7,4.6,4.810468238705741
25,5,5,5,16,5,7,5,17,11,7.8,7.115012499999998
26,5,1,11,16,5,14,0,9,8,5.9,6.057517911255413
27,6,2,4,11,5,0,7,27,2,5.6,5.782431096681101
28,9,1,7,8,1,0,9,28,9,6.9,7.66782182539682
29,7,3,5,9,4,10,7,6,14,7.9,7.873640678765676
30,7,7,6,10,7,0,6,28,15,9.0,8.729657720057716
31,6,3,5,13,0,23,2,11,5,8.7,8.543251839826839
32,8,5,5,4,3,20,0,27,11,9.5,9.267615079365083
33,9,4,6,10,3,11,10,19,0,9.5,9.414839285714287
34,9,2,11,6,0,12,4,24,1,8.3,8.461380158730156
35,6,3,11,16,7,10,4,14,19,7.7,7.280292045454548
36,9,1,5,10,4,11,3,11,11,8.8,8.956866666666668
37,4,6,10,2,5,7,15,29,13,5.0,4.976929365079364
38,5,2,7,11,6,27,1,24,8,7.8,7.490368055555551
39,7,2,5,10,2,23,8,1,14,8.8,8.731432575757573
40,4,7,3,9,3,12,10,0,1,7.6,6.80833715728716
41,9,4,9,6,1,14,6,7,20,9.3,9.264660714285707
42,10,3,7,17,4,0,11,9,11,9.5,8.933420634920633
43,1,3,12,5,0,4,14,15,15,4.0,4.167366486291487
44,4,1,10,12,0,4,6,17,15,4.3,4.437998901098901
45,7,2,8,11,3,7,15,11,1,7.0,6.950686111111113
46,5,2,5,0,8,1,15,21,9,4.2,4.293213888888891
47,7,8,8,7,6,6,14,17,5,9.3,8.82413632478633
48,8,1,8,19,5,3,9,27,17,8.0,7.748977380952383
49,3,4,7,10,2,10,10,1,6,4.9,4.943498015873018
50,5,6,10,6,3,5,15,26,1,6.1,6.219361904761904
51,6,5,7,4,4,5,9,4,18,6.4,6.290878264790767
52,6,4,8,13,2,35,4,30,3,9.6,8.989025595238093
53,4,5,8,5,9,1,1,27,13,4.9,4.98277049062049
54,7,5,12,4,2,1,7,11,10,6.4,6.680483134920633
55,7,7,12,15,11,4,1,4,9,9.4,9.082471028971032
56,7,3,11,11,8,0,13,10,18,6.8,6.9278051587301555
57,3,5,5,9,5,0,10,16,17,4.7,4.958982106782103
58,3,3,5,0,12,9,9,11,3,4.2,4.3287342171717205
59,10,3,6,7,3,10,10,9,6,9.5,9.182863041125536
60,8,4,9,10,0,4,1,27,2,8.2,8.268167261904757
61,5,4,6,5,3,16,12,5,8,6.5,6.240884758297256
62,7,2,8,7,0,32,7,27,15,9.0,8.671085317460314
63,5,5,8,6,9,7,12,14,9,6.4,6.312617658730158
64,4,6,6,4,7,0,0,30,8,5.0,4.9661303571428554
65,6,3,5,4,8,18,14,20,9,7.4,7.095706547619049
66,7,6,5,12,10,0,2,18,10,9.0,8.843474981962482
67,2,2,15,11,3,2,8,6,15,4.1,4.169846536796538
68,9,3,9,16,8,0,10,2,2,9.1,8.779657936507936
69,9,1,3,13,3,23,12,21,6,9.6,9.528495941558436
70,10,2,9,5,8,11,7,18,10,9.2,8.874031691919196
71,10,1,9,15,3,19,4,13,4,9.7,9.64917054473305
72,5,5,9,3,0,2,12,1,7,4.8,4.9879228354978355
73,2,3,13,11,7,0,4,15,17,4.2,4.312528192640696
74,8,5,12,3,0,12,15,20,16,8.3,8.41163650793651
75,6,1,9,12,0,5,2,15,3,5.2,5.475483585858585
76,3,1,11,11,3,7,11,7,16,4.2,4.270778302253303
77,6,5,10,11,0,10,0,16,8,7.7,7.792215440115438
78,6,3,6,6,10,21,10,25,19,8.2,8.009920436507935
79,4,4,5,10,8,16,10,30,6,6.8,6.8086695165945175
80,5,5,5,8,11,2,4,8,19,6.5,6.336974819624819
81,8,4,4,15,7,7,3,12,3,9.4,9.278888095238097
82,4,2,6,20,5,7,10,18,8,5.5,5.211243181818186
83,7,4,10,6,5,10,2,13,1,7.7,7.6593108044733045
84,6,4,9,4,9,8,0,4,1,6.4,6.333757359307364
85,8,5,2,6,9,20,15,25,11,9.7,9.544686760461763
86,10,2,10,8,0,20,8,17,4,9.6,9.37413069985569
87,4,2,7,14,5,17,13,0,7,5.9,6.2211775793650785
88,6,3,4,11,8,4,5,10,10,6.9,6.597813870851371
89,8,5,8,6,4,5,0,27,18,8.6,8.482285729548229
90,6,1,5,2,4,7,14,22,2,4.7,4.742985572760575
91,5,1,9,7,3,3,7,23,6,4.4,4.524173033910532
92,8,5,10,8,3,12,12,22,18,9.2,9.212226767676768
93,8,3,5,5,0,12,12,6,20,8.1,8.215269246031747
94,10,1,10,10,6,0,14,9,19,8.3,8.359988293650792
95,7,4,5,5,3,22,1,30,11,9.0,8.460075090187594
96,9,3,7,5,7,13,3,11,0,9.2,8.997839682539686
97,8,2,4,9,4,15,4,26,14,8.8,8.923617261904763
98,4,1,13,15,4,10,10,17,0,4.7,4.77560396825397
99,6,1,7,14,6,23,12,17,5,8.1,7.814120634920634
100,4,1,5,5,2,19,9,29,12,4.7,4.919635515873018
101,6,3,9,5,0,0,6,16,5,4.9,5.255929079254079
102,4,3,6,3,6,10,9,1,18,4.6,4.7134095238095215
103,7,2,4,1,0,9,5,2,16,5.3,5.4114733974359
104,4,1,8,7,0,4,15,1,14,4.2,4.448480791430792
105,5,2,13,2,0,0,12,6,5,4.2,4.343299007936507
106,7,4,8,14,2,5,8,1,16,8.2,8.138227637640137
107,5,3,8,10,9,5,6,8,12,5.7,5.466312283549786
108,9,4,1,16,5,16,0,16,4,9.9,9.8014426948052
109,5,1,4,1,13,23,15,8,8,5.5,5.552155014430011
110,8,9,11,3,1,19,4,30,11,9.8,9.301495472582971
111,5,6,6,8,11,13,0,11,19,8.3,7.965056890331887
112,5,3,9,6,5,8,10,10,15,5.2,5.201190854978353
113,5,1,11,2,6,11,1,20,8,4.4,4.441131349206348
114,5,5,5,11,6,5,6,24,4,7.0,6.79178373015873
115,1,6,8,4,8,12,6,22,12,4.4,4.7032105158730175
116,8,3,3,8,8,10,12,27,16,8.9,8.761471626984127
117,7,7,12,0,7,5,1,5,17,6.6,6.912202579365081
118,5,2,8,12,4,4,13,2,5,5.1,5.088790061327565
119,7,4,9,9,0,18,6,19,19,8.7,8.693237139249634
120,7,6,12,12,0,7,7,25,9,8.7,8.817467261904763
121,6,1,7,0,7,22,8,29,1,5.0,5.545263564213562
122,6,3,10,8,9,12,7,8,10,7.1,7.069530537518037
123,7,5,9,18,5,20,11,8,15,9.7,9.558844137806645
124,7,2,5,9,6,0,6,0,2,6.3,6.504143452380948
125,6,1,6,5,0,0,10,29,8,4.5,4.7897792235542225
126,6,4,6,13,4,2,11,18,9,7.0,6.978035443722944
127,5,2,9,17,0,26,6,7,2,7.8,7.379009325396818
128,9,1,6,4,1,13,10,7,9,7.9,8.112544642857141
129,6,7,8,10,3,0,10,11,10,7.9,7.780139087301589
130,2,2,9,10,3,2,0,8,8,4.1,4.171124512987015
131,5,3,12,3,12,22,13,27,19,6.4,6.065935714285714
132,7,3,13,1,2,9,3,9,17,5.4,5.546100396825401
133,8,5,6,9,6,2,1,10,17,8.9,8.836328571428572
134,7,1,8,6,6,11,12,19,16,6.3,6.588497222222221
135,6,1,5,6,12,22,10,8,0,7.4,7.334736904761906
136,7,7,12,0,10,12,0,4,10,7.7,7.255336706349206
137,4,3,5,9,0,17,10,15,13,5.6,5.987926785714286
138,4,1,3,0,7,6,7,19,12,4.1,4.26340099206349
139,7,4,5,3,11,9,14,8,15,7.8,7.396684404484399
140,6,5,4,10,5,2,12,10,13,7.4,7.4737432539682525
141,8,7,4,14,0,15,12,3,10,9.8,9.622547582972572
142,4,1,2,21,3,0,14,4,2,4.7,4.752928266178269
143,7,5,7,0,3,15,11,21,7,6.7,7.068569032356532
144,7,3,4,8,4,8,5,3,16,7.6,7.571718001443003
145,5,5,8,8,0,16,7,1,7,7.2,7.262962265512266
146,6,4,4,11,4,2,11,9,6,6.9,6.921602507215008
147,9,2,5,12,1,14,0,9,2,9.3,9.306020869408357
148,5,4,7,5,7,0,14,16,10,5.0,5.0307471486846485
149,6,1,8,0,7,9,13,25,13,4.3,4.575023210123211
150,6,7,6,9,7,3,9,26,16,8.5,7.924450992063491
151,8,2,6,4,3,0,8,13,19,6.0,6.566835317460318
152,6,4,9,15,4,16,11,8,4,8.6,8.45609972943723
153,5,1,13,6,2,9,14,8,4,4.5,4.625871392496393
154,5,1,4,4,4,5,6,19,6,4.5,4.613071128871128
155,7,6,7,8,7,24,0,13,18,9.7,9.504775198412702
156,7,2,10,9,5,14,3,13,7,7.6,7.580737698412699
157,6,3,7,6,4,15,6,9,12,6.9,7.1687562049062095
158,9,4,5,10,2,1,5,13,14,9.0,8.915014682539681
159,6,3,4,2,8,3,8,20,16,5.2,5.3741101148851165
160,6,1,4,4,4,13,15,1,17,5.5,5.8939308691308705
161,7,6,4,7,5,0,11,8,3,8.2,8.284480699855706
162,7,3,7,6,6,15,15,2,18,8.1,7.89249194139195
163,5,5,5,11,0,16,8,20,20,7.9,7.571972276334776
164,6,1,9,13,3,8,13,23,14,5.8,5.810841738816743
165,9,3,8,2,2,19,2,25,12,8.9,8.210556150793655
166,3,1,3,4,4,19,12,13,10,4.4,4.717278174603175
167,4,5,14,11,5,19,12,0,12,7.0,7.199003986291484
168,6,4,13,10,9,31,9,22,5,9.4,9.084555555555557
169,8,7,7,3,6,7,14,29,12,9.2,9.011661435786436
170,7,6,7,11,12,10,5,21,19,9.5,9.375166865079366
171,8,3,7,7,4,12,10,25,15,8.6,8.630379044566544
172,5,3,12,6,3,17,5,25,16,5.8,5.972974603174601
173,6,4,4,8,2,14,11,5,4,7.8,7.771370959595963
174,3,5,6,8,0,3,13,12,2,4.6,4.886090874403371
175,6,5,6,3,3,0,11,6,0,5.6,5.871030014430014
176,9,7,12,6,5,0,13,5,18,9.3,8.891134126984126
177,6,3,8,0,0,19,4,7,11,5.1,5.598878769841269
178,7,3,3,16,0,12,11,3,6,8.8,8.540113077200575
179,9,5,3,13,4,8,7,8,0,9.7,9.644019841269841
180,6,7,6,0,6,5,5,3,0,6.0,6.120580916305919
181,7,3,2,4,7,5,10,21,10,6.8,6.780349007936512
182,3,5,10,4,3,8,11,16,4,4.5,4.703728266178267
183,6,3,9,10,10,26,9,10,3,9.0,8.842263437950933
184,7,6,7,21,11,9,1,9,0,9.7,9.46662162698413
185,6,1,9,13,8,10,12,27,18,6.4,6.286792171717175
186,10,1,13,12,2,22,15,21,10,9.6,9.59488762626262
187,4,3,15,6,5,26,14,28,9,5.9,6.012399206349212
188,7,2,5,11,7,0,1,14,3,6.6,6.593405555555552
189,6,4,4,8,5,14,7,18,4,8.0,7.941960840548342
190,2,6,7,18,1,4,1,1,16,5.1,5.404096031746032
191,8,3,8,5,6,8,3,13,9,7.9,8.124590354090358
192,7,4,6,6,6,11,9,8,20,8.2,7.979903088578089
193,4,9,6,9,2,14,14,28,20,8.6,8.196391269841268
194,8,4,4,9,6,9,6,2,15,9.1,9.006041648629152
195,5,2,5,5,10,7,11,8,1,5.1,5.023903463203462
196,7,5,1,9,10,12,7,26,14,9.4,9.145952182539682
197,8,1,9,14,7,0,2,9,4,7.1,7.557931944444444
198,2,1,6,2,2,12,11,22,14,4.1,4.215831547619047
199,7,2,11,0,0,9,10,28,18,4.6,5.118271230158732
200,5,2,7,7,7,12,3,10,1,5.5,5.438210606060608
201,4,1,8,3,3,18,3,27,2,4.5,4.690042701742703
202,5,3,4,7,8,0,10,1,15,5.1,5.134873717948717
203,7,4,11,6,3,10,9,0,11,7.5,7.604695328282824
204,7,2,12,6,0,15,14,24,11,6.7,7.193786111111112
205,7,2,8,4,3,21,5,7,12,7.5,7.487307936507943
206,7,3,4,4,0,14,8,28,6,7.3,7.31399401431902
207,7,3,7,10,6,6,1,19,10,7.6,7.563776862026863
208,5,6,8,11,7,19,14,13,5,8.9,8.673138636363637
209,8,5,9,4,11,0,0,22,0,8.1,8.160235119047616
210,7,3,9,0,7,18,5,29,14,6.1,6.309260515873015
211,7,4,10,17,3,0,9,16,13,7.8,7.7724579184704226
212,6,5,5,0,0,15,3,18,3,5.7,6.14570449134199
213,7,4,8,6,0,4,7,24,0,6.7,6.779225396825398
214,8,5,10,7,6,11,5,18,0,9.2,9.182472402597401
215,10,7,7,0,5,3,7,13,17,9.1,8.31396884920635
216,6,2,4,0,6,4,12,9,2,4.4,4.586735042735044
217,3,4,5,16,5,26,2,11,2,7.6,7.321636309523816
218,5,4,5,10,0,2,3,7,0,5.5,5.605738311688311
219,7,3,4,9,2,15,5,30,2,8.4,8.378681529581527
220,9,4,10,15,6,14,12,14,9,9.8,9.718661904761898
221,8,5,10,16,5,16,13,6,12,9.7,9.641600955988462
222,9,7,9,5,2,15,10,30,20,9.8,9.59828217893217
223,4,5,7,11,5,16,13,5,13,7.1,7.115364357864355
224,4,8,10,6,3,7,11,23,4,6.5,6.262135912698414
225,8,3,13,6,5,3,3,21,11,7.0,7.358185912698412
226,5,2,8,0,16,20,10,21,1,5.0,5.318787103174601
227,5,2,9,9,3,1,8,8,13,4.6,4.7067254509379515
228,9,2,8,0,0,0,11,16,10,5.1,5.514520238095241
229,9,5,9,0,0,10,1,28,17,7.7,7.897432142857144
230,6,2,15,13,2,10,1,26,18,6.0,6.231791269841271
231,8,4,4,8,1,10,8,9,14,8.9,8.886379942279943
232,6,1,10,9,1,6,3,15,5,5.0,5.291855212842714
233,6,4,9,5,9,23,12,27,19,8.5,7.852021825396821
234,5,1,6,0,0,7,7,29,11,4.1,4.221041594516592
235,5,3,6,9,0,14,13,14,10,6.1,6.371333333333333
236,10,1,7,12,7,0,0,24,3,8.8,8.503779166666666
237,8,2,9,10,9,16,3,21,7,9.0,9.012878571428574
238,4,5,9,12,1,2,6,22,18,5.2,5.765595238095235
239,5,1,12,13,8,13,5,22,8,5.6,5.889319101731604
240,6,3,2,9,6,0,0,21,8,6.1,6.194478445165947
241,3,2,12,2,5,0,0,16,0,4.1,4.155495923520924
242,5,3,10,23,5,15,8,7,12,7.7,7.1368563492063455
243,10,1,3,13,0,15,4,30,7,9.6,9.501839411976901
244,9,7,5,0,0,8,0,22,15,8.7,8.468334325396826
245,5,4,5,1,4,0,2,17,6,4.5,4.575124819624821
246,6,6,10,2,2,7,4,14,18,6.3,6.255619733044735
247,7,2,9,11,9,18,14,1,17,8.6,8.538312355699857
248,8,4,6,9,4,15,3,18,6,9.3,9.219100455100453
249,3,6,8,16,7,23,5,3,0,8.3,7.915433730158729
250,7,4,10,8,6,20,15,7,10,9.0,8.82065678210678
251,4,7,8,0,6,5,12,3,17,4.6,4.893529563492063
252,4,3,1,14,0,8,2,19,19,5.5,5.370482738095234
253,10,5,3,3,9,14,11,10,17,9.8,9.328838437950939
254,4,3,6,10,9,5,3,25,18,5.1,5.198696805971805
255,6,3,9,17,6,17,14,26,15,8.6,8.3853033008658
256,7,1,5,5,0,9,2,6,20,5.7,6.135855753968254
257,4,4,5,13,4,0,6,4,9,5.1,5.208223970473969
258,4,2,9,2,3,18,11,25,13,4.5,4.694788733488736
259,6,5,4,4,1,6,8,11,4,6.5,6.498734992784996
260,9,4,2,12,11,24,7,15,5,9.9,9.782630393217906
261,5,6,8,7,1,18,2,10,10,7.9,7.932524927849927
262,7,2,8,10,5,4,0,22,11,6.6,6.693490476190475
263,6,5,7,13,2,10,13,27,9,8.3,7.998915945165945
264,10,6,6,2,5,0,10,17,2,9.3,8.637275198412699
265,7,1,11,8,0,14,5,15,17,6.4,6.962200793650797
266,4,1,10,14,9,4,4,20,0,4.6,4.649632414807414
267,8,4,8,9,2,15,4,26,13,9.2,9.201084600122101
268,5,1,6,13,2,12,2,19,1,5.5,5.399759776334776
269,5,1,2,5,3,12,0,0,3,4.9,4.9791237623487605
270,7,3,1,13,5,12,15,22,5,8.9,8.579769624819622
271,7,4,8,3,3,0,6,2,19,5.8,6.187236507936506
272,2,6,12,6,8,14,10,12,4,4.9,5.326436760461758
273,6,4,11,14,4,18,2,26,20,8.6,8.575994769119772
274,6,2,10,4,0,17,8,6,17,5.7,5.858716666666665
275,3,3,6,2,8,2,3,13,17,4.2,4.226645238095242
276,8,4,1,6,6,7,14,24,8,8.8,8.695990458152961
277,7,2,10,10,6,17,14,8,12,8.2,8.31719444444445
278,9,3,9,0,3,3,1,18,5,5.9,5.970026587301587
279,4,9,9,8,2,14,13,25,12,8.3,8.129064682539683
280,1,3,6,10,2,7,5,24,13,4.1,4.353652002164504
281,8,4,11,15,11,1,0,30,1,8.9,8.638775396825396
282,3,5,10,15,3,4,6,7,16,5.1,5.257643452380954
283,2,6,10,7,10,19,7,22,18,5.7,5.954161291486292
284,4,4,11,4,1,10,3,24,16,4.7,4.823882738095237
285,6,1,8,0,6,8,0,7,10,4.3,4.504102575202576
286,1,4,10,5,0,25,14,7,1,4.4,4.905943650793651
287,4,3,3,3,9,7,1,28,9,4.7,4.803538888888886
288,8,4,6,9,1,10,3,18,17,8.9,8.93055930735931
289,2,6,9,3,7,24,0,27,13,5.4,5.352160119047621
290,7,2,6,10,9,18,0,30,15,8.7,8.577995274170274
291,2,4,11,2,6,0,15,17,20,4.1,4.321735912698414
292,8,2,13,13,7,19,6,25,19,9.2,9.195091919191917
293,5,2,11,11,1,0,9,5,20,4.6,4.653955808080807
294,7,3,3,8,10,0,7,2,18,7.1,6.912119047619046
295,7,5,4,18,6,20,10,27,20,9.8,9.603419137806645
296,4,2,6,16,6,0,10,4,0,4.7,4.840798142135645
297,5,1,5,0,4,10,6,13,16,4.2,4.285388293650793
298,5,4,7,9,3,4,10,28,11,5.6,5.661500937950938
299,3,5,5,15,9,14,8,12,12,6.9,6.673325234487733
300,3,5,6,8,9,6,0,13,3,5.1,5.077033676046175
301,9,6,7,12,0,6,1,13,15,9.7,9.572176999389498
302,8,6,13,10,7,19,0,7,13,9.8,9.708428571428563
303,9,5,6,0,5,16,13,26,3,8.8,8.4816998015873
304,5,2,7,4,4,18,2,22,15,5.5,5.51379968226218
305,2,8,9,8,4,7,15,0,10,5.3,5.4332148809523835
306,8,1,7,1,7,6,0,21,4,5.6,6.020132539682541
307,6,5,4,0,7,7,12,10,16,5.4,5.9312695887445885
308,5,2,3,4,7,19,13,27,3,6.0,5.910650811688312
309,3,7,5,5,3,3,0,8,19,5.0,5.034031603119103
310,8,7,7,5,7,0,12,27,0,9.0,8.72733611111111
311,5,4,7,0,3,0,2,17,12,4.2,4.4871075577200585
312,6,1,12,10,4,12,13,14,8,5.7,6.011037409812413
313,5,2,6,8,4,17,14,6,0,6.1,6.221557359307357
314,8,5,3,18,0,0,14,17,13,9.2,8.787251388888887
315,2,1,8,12,0,14,6,12,11,4.2,5.061261904761907
316,9,2,10,14,6,11,11,26,10,9.3,9.237072023809512
317,8,1,9,3,3,21,13,14,9,7.6,8.075099801587305
318,7,6,12,15,8,18,7,13,2,9.7,9.585268091630605
