id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro
1,10,5,11,16,5,3,6,5,4,9.8
2,5,4,6,2,0,10,0,12,20,5.1
3,6,3,11,3,2,3,12,14,8,4.8
4,4,5,8,15,8,0,5,16,5,5.8
5,9,6,7,9,10,0,6,11,19,9.6
6,8,5,10,6,5,10,15,1,14,9.0
7,9,10,3,4,9,16,5,0,2,10.0
8,6,6,11,12,4,0,0,9,5,7.4
9,8,3,5,11,3,3,15,26,20,8.2
10,5,5,4,4,4,9,8,22,19,6.2
11,6,4,12,10,7,13,10,28,5,7.8
12,4,4,7,7,0,14,9,24,13,5.5
13,8,4,3,11,2,4,3,15,16,8.8
14,1,4,1,8,3,0,8,17,14,4.1
15,3,2,12,18,0,6,8,16,12,4.4
16,5,3,12,9,4,4,15,24,14,5.0
17,5,5,9,8,3,12,5,30,5,6.9
18,6,7,8,6,3,29,4,23,5,9.6
19,8,4,6,10,8,18,0,21,2,9.6
20,9,6,6,13,4,14,9,20,18,9.9
21,3,2,8,12,2,11,12,5,19,4.6
22,6,3,8,0,3,17,10,2,20,5.1
23,6,1,5,11,4,6,11,23,18,5.7
24,8,4,3,7,10,15,12,28,1,9.5
25,4,1,1,11,2,6,11,7,6,4.6
26,6,8,7,6,7,14,13,14,8,9.3
27,5,1,7,7,11,9,11,30,19,5.1
28,5,7,9,14,3,13,12,25,2,8.8
29,7,1,1,8,10,17,13,25,1,8.2
30,6,6,3,2,6,11,2,8,1,7.7
31,6,4,1,9,5,23,11,29,13,9.1
32,4,5,13,9,0,0,15,12,13,4.7
33,5,8,4,12,0,5,4,13,6,8.4
34,5,3,3,3,0,11,15,7,6,5.1
35,8,4,7,6,10,16,0,28,7,9.3
36,5,2,8,13,12,13,4,1,11,6.7
37,1,7,8,2,6,9,3,6,16,4.3
38,1,3,5,10,10,0,7,6,18,4.1
39,4,3,9,10,2,10,2,2,4,5.0
40,5,4,7,11,8,22,9,17,0,8.4
41,6,1,3,4,4,17,0,9,12,6.0
42,7,1,8,14,4,12,14,5,16,7.5
43,5,7,8,14,2,16,9,26,5,9.0
44,6,4,12,10,0,0,12,30,7,5.7
45,8,4,8,8,11,11,12,28,0,9.2
46,5,5,12,10,3,22,5,12,1,8.2
47,5,3,6,5,0,22,0,14,2,6.4
48,7,5,7,12,10,14,0,15,10,9.4
49,8,5,12,13,4,9,1,12,17,9.3
50,5,1,14,1,0,5,7,15,7,4.1
51,6,2,7,12,9,8,9,1,6,6.8
52,5,6,6,15,9,5,9,0,20,8.2
53,6,5,5,4,9,14,13,27,1,8.1
54,7,4,1,10,0,15,4,23,2,9.0
55,6,4,9,1,2,16,5,30,6,6.0
56,5,1,8,0,9,20,12,25,12,4.5
57,7,2,11,11,0,12,6,3,13,7.2
58,5,5,9,16,7,12,9,10,12,8.2
59,4,5,6,2,1,10,8,28,16,4.9
60,5,2,6,18,3,13,5,2,16,6.8
61,5,3,11,7,2,0,5,2,5,4.6
62,6,5,5,7,6,4,13,24,11,7.2
63,3,4,10,0,4,9,10,15,0,4.1
64,9,4,10,3,0,13,12,13,9,8.8
65,9,2,1,11,3,7,6,25,12,9.1
66,4,4,9,7,0,17,5,25,13,5.6
67,6,7,11,2,0,23,3,0,12,8.6
68,5,3,7,10,0,17,10,29,19,6.6
69,4,3,2,5,0,14,5,17,5,5.1
70,8,1,9,11,0,12,15,15,4,7.7
71,7,1,4,0,3,8,7,13,10,4.6
72,6,1,6,3,0,12,9,18,7,4.9
73,8,1,12,11,5,4,9,18,18,6.9
74,7,2,6,2,5,0,1,21,12,5.0
75,7,3,11,8,9,0,0,30,12,6.5
76,7,2,10,15,8,14,0,7,3,8.5
77,5,5,5,8,0,11,9,22,9,6.8
78,1,4,9,3,2,6,6,4,20,4.1
79,3,1,6,10,10,7,8,7,20,4.4
80,10,3,4,0,11,16,10,2,2,9.1
81,6,6,9,1,2,11,13,8,8,6.6
