id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,Riesgo de rotacion,Riesgo de despido,Riesgo de renuncia
1,10,5,11,16,5,3,6,5,4,9.8,bajo,bajo,medio
2,5,4,6,2,0,10,0,12,20,5.1,medio,alto,alto
3,6,3,11,3,2,3,12,14,8,4.8,medio,alto,alto
4,4,5,8,15,8,0,5,16,5,5.8,medio,alto,alto
5,9,6,7,9,10,0,6,11,19,9.6,medio,medio,alto
6,8,5,10,6,5,10,15,1,14,9.0,medio,medio,alto
7,9,10,3,4,9,16,5,0,2,10.0,bajo,bajo,medio
8,6,6,11,12,4,0,0,9,5,7.4,bajo,bajo,medio
9,8,3,5,11,3,3,15,26,20,8.2,alto,alto,alto
10,5,5,4,4,4,9,8,22,19,6.2,alto,alto,alto
11,6,4,12,10,7,13,10,28,5,7.8,alto,alto,alto
12,4,4,7,7,0,14,9,24,13,5.5,alto,alto,alto
13,8,4,3,11,2,4,3,15,16,8.8,medio,medio,alto
14,1,4,1,8,3,0,8,17,14,4.1,alto,alto,alto
15,3,2,12,18,0,6,8,16,12,4.4,alto,alto,alto
16,5,3,12,9,4,4,15,24,14,5.0,alto,alto,alto
17,5,5,9,8,3,12,5,30,5,6.9,alto,alto,alto
18,6,7,8,6,3,29,4,23,5,9.6,medio,medio,alto
19,8,4,6,10,8,18,0,21,2,9.6,bajo,bajo,alto
20,9,6,6,13,4,14,9,20,18,9.9,alto,alto,alto
21,3,2,8,12,2,11,12,5,19,4.6,alto,alto,alto
22,6,3,8,0,3,17,10,2,20,5.1,medio,alto,alto
23,6,1,5,11,4,6,11,23,18,5.7,alto,alto,alto
24,8,4,3,7,10,15,12,28,1,9.5,medio,medio,alto
25,4,1,1,11,2,6,11,7,6,4.6,medio,alto,alto
26,6,8,7,6,7,14,13,14,8,9.3,medio,medio,alto
27,5,1,7,7,11,9,11,30,19,5.1,alto,alto,alto
28,5,7,9,14,3,13,12,25,2,8.8,alto,alto,alto
29,7,1,1,8,10,17,13,25,1,8.2,medio,medio,alto
30,6,6,3,2,6,11,2,8,1,7.7,bajo,bajo,medio
31,6,4,1,9,5,23,11,29,13,9.1,alto,alto,alto
32,4,5,13,9,0,0,15,12,13,4.7,alto,alto,alto
33,5,8,4,12,0,5,4,13,6,8.4,bajo,bajo,alto
34,5,3,3,3,0,11,15,7,6,5.1,medio,alto,alto
35,8,4,7,6,10,16,0,28,7,9.3,medio,bajo,alto
36,5,2,8,13,12,13,4,1,11,6.7,bajo,bajo,medio
37,1,7,8,2,6,9,3,6,16,4.3,medio,alto,alto
38,1,3,5,10,10,0,7,6,18,4.1,medio,alto,alto
39,4,3,9,10,2,10,2,2,4,5.0,bajo,bajo,bajo
40,5,4,7,11,8,22,9,17,0,8.4,medio,medio,alto
41,6,1,3,4,4,17,0,9,12,6.0,bajo,medio,medio
42,7,1,8,14,4,12,14,5,16,7.5,medio,alto,alto
43,5,7,8,14,2,16,9,26,5,9.0,alto,alto,alto
44,6,4,12,10,0,0,12,30,7,5.7,alto,alto,alto
45,8,4,8,8,11,11,12,28,0,9.2,medio,medio,alto
46,5,5,12,10,3,22,5,12,1,8.2,bajo,bajo,medio
47,5,3,6,5,0,22,0,14,2,6.4,bajo,bajo,medio
48,7,5,7,12,10,14,0,15,10,9.4,bajo,bajo,alto
49,8,5,12,13,4,9,1,12,17,9.3,medio,bajo,alto
50,5,1,14,1,0,5,7,15,7,4.1,medio,alto,alto
51,6,2,7,12,9,8,9,1,6,6.8,bajo,bajo,medio
52,5,6,6,15,9,5,9,0,20,8.2,medio,medio,alto
53,6,5,5,4,9,14,13,27,1,8.1,alto,alto,alto
54,7,4,1,10,0,15,4,23,2,9.0,medio,bajo,alto
55,6,4,9,1,2,16,5,30,6,6.0,medio,alto,alto
56,5,1,8,0,9,20,12,25,12,4.5,alto,alto,alto
57,7,2,11,11,0,12,6,3,13,7.2,bajo,bajo,medio
58,5,5,9,16,7,12,9,10,12,8.2,medio,medio,alto
59,4,5,6,2,1,10,8,28,16,4.9,alto,alto,alto
60,5,2,6,18,3,13,5,2,16,6.8,bajo,bajo,medio
61,5,3,11,7,2,0,5,2,5,4.6,bajo,medio,medio
62,6,5,5,7,6,4,13,24,11,7.2,alto,alto,alto
63,3,4,10,0,4,9,10,15,0,4.1,medio,alto,alto
