id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas
1,10,5,11,16,5,3,6,5,4
2,5,4,6,2,0,10,0,12,20
3,6,3,11,3,2,3,12,14,8
4,4,5,8,15,8,0,5,16,5
5,9,6,7,9,10,0,6,11,19
6,8,5,10,6,5,10,15,1,14
7,9,10,3,4,9,16,5,0,2
8,6,6,11,12,4,0,0,9,5
9,8,3,5,11,3,3,15,26,20
10,5,5,4,4,4,9,8,22,19
11,6,4,12,10,7,13,10,28,5
12,4,4,7,7,0,14,9,24,13
13,8,4,3,11,2,4,3,15,16
14,1,4,1,8,3,0,8,17,14
15,3,2,12,18,0,6,8,16,12
16,5,3,12,9,4,4,15,24,14
17,5,5,9,8,3,12,5,30,5
18,6,7,8,6,3,29,4,23,5
19,8,4,6,10,8,18,0,21,2
20,9,6,6,13,4,14,9,20,18
21,3,2,8,12,2,11,12,5,19
22,6,3,8,0,3,17,10,2,20
23,6,1,5,11,4,6,11,23,18
24,8,4,3,7,10,15,12,28,1
25,4,1,1,11,2,6,11,7,6
26,6,8,7,6,7,14,13,14,8
27,5,1,7,7,11,9,11,30,19
28,5,7,9,14,3,13,12,25,2
29,7,1,1,8,10,17,13,25,1
30,6,6,3,2,6,11,2,8,1
31,6,4,1,9,5,23,11,29,13
32,4,5,13,9,0,0,15,12,13
33,5,8,4,12,0,5,4,13,6
34,5,3,3,3,0,11,15,7,6
35,8,4,7,6,10,16,0,28,7
36,5,2,8,13,12,13,4,1,11
37,1,7,8,2,6,9,3,6,16
38,1,3,5,10,10,0,7,6,18
39,4,3,9,10,2,10,2,2,4
40,5,4,7,11,8,22,9,17,0
41,6,1,3,4,4,17,0,9,12
42,7,1,8,14,4,12,14,5,16
43,5,7,8,14,2,16,9,26,5
44,6,4,12,10,0,0,12,30,7
45,8,4,8,8,11,11,12,28,0
46,5,5,12,10,3,22,5,12,1
47,5,3,6,5,0,22,0,14,2
48,7,5,7,12,10,14,0,15,10
49,8,5,12,13,4,9,1,12,17
50,5,1,14,1,0,5,7,15,7
51,6,2,7,12,9,8,9,1,6
52,5,6,6,15,9,5,9,0,20
53,6,5,5,4,9,14,13,27,1
54,7,4,1,10,0,15,4,23,2
55,6,4,9,1,2,16,5,30,6
56,5,1,8,0,9,20,12,25,12
57,7,2,11,11,0,12,6,3,13
58,5,5,9,16,7,12,9,10,12
59,4,5,6,2,1,10,8,28,16
60,5,2,6,18,3,13,5,2,16
61,5,3,11,7,2,0,5,2,5
62,6,5,5,7,6,4,13,24,11
63,3,4,10,0,4,9,10,15,0
64,9,4,10,3,0,13,12,13,9
65,9,2,1,11,3,7,6,25,12
66,4,4,9,7,0,17,5,25,13
67,6,7,11,2,0,23,3,0,12
68,5,3,7,10,0,17,10,29,19
69,4,3,2,5,0,14,5,17,5
70,8,1,9,11,0,12,15,15,4
71,7,1,4,0,3,8,7,13,10
72,6,1,6,3,0,12,9,18,7
73,8,1,12,11,5,4,9,18,18
74,7,2,6,2,5,0,1,21,12
75,7,3,11,8,9,0,0,30,12
76,7,2,10,15,8,14,0,7,3
77,5,5,5,8,0,11,9,22,9
78,1,4,9,3,2,6,6,4,20
79,3,1,6,10,10,7,8,7,20
80,10,3,4,0,11,16,10,2,2
81,6,6,9,1,2,11,13,8,8
82,7,5,8,3,7,7,9,18,7
83,4,4,3,1,0,12,13,27,3
84,6,5,6,7,6,0,3,8,13
85,6,2,8,5,5,4,7,4,7
86,8,2,9,14,5,0,15,12,8
87,6,5,3,7,7,0,14,23,20
88,4,6,10,15,0,12,4,24,20
89,7,6,11,6,10,13,8,23,16
90,6,4,7,6,2,0,14,14,11
91,3,6,6,12,3,13,8,1,15
92,8,4,9,6,12,21,1,18,4
93,5,4,8,12,6,22,4,9,4
94,9,1,14,14,11,0,7,12,17
95,7,4,4,11,10,16,6,10,17
96,5,2,10,10,4,8,15,0,2
97,6,3,5,10,5,6,4,12,6
98,8,3,2,17,3,8,9,9,16
99,8,4,6,2,3,8,14,7,16
100,9,1,8,2,6,11,15,7,11
101,10,3,5,3,0,24,8,26,5
102,9,3,10,8,7,24,10,10,13
103,7,6,3,9,6,13,13,9,10
104,9,4,8,1,9,4,13,24,0
105,2,5,1,12,6,2,14,3,4
106,6,6,4,1,4,14,14,9,4
107,5,9,1,0,9,6,6,15,2
108,10,1,6,4,10,6,13,30,8
109,4,6,13,2,0,13,14,1,1
110,5,5,9,11,0,26,4,27,14
111,5,3,5,4,0,2,7,1,12
112,9,1,9,3,3,11,14,23,4
113,4,1,13,1,4,6,5,26,18
114,8,4,1,5,1,19,7,22,16
115,5,1,4,0,1,12,2,3,11
116,10,2,11,13,1,17,0,18,3
117,4,4,2,1,6,4,14,27,4
118,7,5,6,6,0,0,13,23,3
119,6,4,5,10,8,12,15,16,12
120,4,6,1,13,7,12,9,25,9
121,4,3,6,10,4,0,5,28,11
122,5,4,12,5,5,0,15,3,17
123,5,4,9,3,8,11,5,16,11
124,8,1,6,14,4,9,1,13,6
125,8,7,4,10,13,0,3,21,15
126,5,2,6,2,2,9,12,20,0
127,4,7,9,14,8,16,9,8,19
128,8,2,12,2,1,9,8,15,17
129,4,3,12,6,0,10,15,17,11
130,4,7,8,8,2,19,7,15,20
131,5,5,9,5,0,9,3,27,18
132,7,4,11,4,2,14,15,18,11
133,3,6,15,10,3,11,7,13,6
134,10,4,4,6,0,0,8,3,14
135,6,4,9,14,5,0,5,18,9
136,6,2,11,14,9,15,0,24,20
137,5,5,7,7,0,13,7,12,19
138,8,5,12,10,0,5,12,8,0
139,4,2,7,6,3,3,9,22,9
140,6,2,13,12,8,15,13,5,12
141,6,5,13,7,2,0,12,23,12
142,7,2,5,3,6,14,12,28,3
143,3,4,6,11,5,17,15,13,2
144,5,3,5,13,5,9,0,3,5
145,6,4,6,16,6,7,7,8,12
146,2,3,12,14,3,4,0,11,2
147,5,2,1,14,4,14,8,30,19
148,9,5,5,0,0,14,12,30,8
149,2,2,5,12,4,5,7,7,14
150,5,1,10,2,5,2,8,16,15
151,5,7,5,4,1,15,15,4,9
152,6,3,5,2,5,0,1,12,7
153,8,5,14,9,3,12,8,22,15
154,9,6,7,9,8,0,13,26,19
155,7,2,4,0,1,5,4,25,2
156,4,4,10,2,1,9,1,19,11
157,6,5,6,3,0,8,2,15,7
158,5,2,6,0,6,11,1,7,3
159,5,2,5,14,2,3,10,28,7
160,7,9,8,17,3,11,13,3,1
161,5,3,11,24,5,3,3,1,4
162,9,3,11,4,2,15,6,5,5
163,9,4,10,8,11,10,9,22,1
164,8,3,9,19,7,18,2,28,11
165,7,3,5,2,10,12,0,15,18
166,5,1,2,4,10,9,8,23,14
167,5,3,9,9,4,16,7,5,16
168,6,3,5,9,5,0,5,29,13
169,8,2,10,8,4,11,0,15,11
170,5,2,11,10,6,0,4,2,14
171,6,2,7,14,4,15,12,10,2
172,2,1,8,8,0,7,8,12,0
173,6,4,10,5,6,9,0,26,1
174,5,3,7,16,11,27,10,17,8
175,7,5,11,10,9,25,6,13,18
176,5,1,7,6,6,11,6,1,7
177,5,6,7,2,0,15,12,5,18
178,8,3,8,8,1,2,9,8,20
179,6,7,6,0,9,14,14,14,1
180,6,3,9,11,5,3,5,25,5
181,5,2,7,7,12,0,14,27,10
182,6,6,9,2,6,23,10,16,18
183,6,6,11,10,0,18,14,3,12
184,4,2,11,3,4,7,12,19,13
185,6,6,5,15,0,7,1,26,13
186,5,6,3,5,6,13,11,26,9
187,8,3,6,12,4,12,8,28,0
188,5,7,4,16,3,5,13,5,20
189,6,1,10,0,2,3,9,26,9
190,4,5,10,7,1,1,6,0,4
191,8,5,6,2,3,4,11,22,14
192,6,1,7,8,1,1,11,7,15
193,5,5,7,9,10,13,14,3,11
194,5,7,6,19,10,0,7,9,8
195,6,4,4,5,0,20,0,12,9
196,8,7,10,14,6,15,1,24,3
197,8,5,13,8,9,1,5,7,19
198,7,7,12,6,2,0,0,2,13
199,3,7,6,8,6,2,4,28,9
200,1,5,8,15,0,24,15,22,19
201,7,6,5,6,3,28,9,24,10
202,8,2,6,15,0,1,7,9,7
203,5,3,6,0,4,14,14,9,0
204,5,1,5,8,1,15,1,14,16
205,5,5,14,0,3,3,13,18,3
206,5,1,8,8,0,0,2,13,15
207,8,2,8,2,2,10,11,15,15
208,10,5,2,3,5,6,0,22,20
209,7,1,11,4,6,3,15,15,16
210,5,2,6,7,5,14,12,25,5
211,1,3,7,13,5,12,14,22,18
212,4,7,15,9,9,9,11,18,20
213,10,3,10,7,9,0,10,19,8
214,4,3,12,10,3,15,13,19,20
215,6,4,11,1,1,3,4,28,15
216,5,1,5,8,6,0,0,1,10
217,4,6,11,20,9,11,10,25,11
218,4,5,8,10,4,8,1,21,2
219,4,4,5,0,6,16,13,23,17
220,8,6,7,7,0,9,0,24,10
221,7,5,8,0,6,2,12,22,20
222,6,1,9,5,1,0,7,1,5
223,7,5,9,10,7,16,1,29,1
224,10,4,11,14,9,10,6,17,1
225,8,6,7,1,10,7,7,14,4
226,2,4,3,12,11,29,1,4,16
227,8,4,2,0,12,4,9,21,6
228,8,2,7,5,12,2,4,5,18
229,2,1,8,2,8,3,2,20,17
230,7,2,7,10,11,15,9,5,13
231,5,4,7,15,4,8,10,19,20
232,7,6,7,9,6,4,5,19,14
233,4,3,8,12,8,19,3,28,16
234,8,5,4,2,14,16,15,7,5
235,10,3,8,11,6,13,12,19,4
236,5,6,10,6,0,12,4,3,10
237,7,2,7,7,6,0,11,19,17
238,3,2,9,6,2,31,3,18,8
239,7,4,5,8,3,19,7,29,5
240,7,4,10,1,8,5,14,19,9
241,8,4,5,9,4,5,4,3,14
242,6,1,7,9,2,12,11,29,8
243,5,2,8,12,9,9,14,8,11
244,6,5,10,11,8,22,12,22,17
245,4,5,6,14,9,8,11,11,15
246,2,5,11,13,5,10,12,15,0
247,5,6,1,0,2,18,7,16,6
248,3,5,7,8,5,9,6,25,11
249,5,3,7,5,1,5,12,22,19
250,8,6,1,10,1,1,12,4,9
251,4,4,1,9,3,15,4,10,10
252,5,6,11,11,6,16,7,28,14
253,6,8,6,10,6,14,11,13,19
254,5,4,10,13,0,9,10,8,18
255,4,3,13,9,5,9,5,17,14
256,6,2,3,8,8,9,4,10,9
257,5,2,5,11,0,13,1,18,4
258,7,4,6,13,0,17,6,16,16
259,6,2,8,2,6,5,4,20,6
260,3,7,9,4,3,13,6,20,8
261,7,5,2,8,5,12,8,10,7
262,6,5,2,14,1,0,6,21,3
263,7,2,6,9,1,20,7,14,9
264,7,2,4,9,4,2,13,23,16
265,7,3,5,9,1,7,10,16,14
266,8,5,6,15,0,8,9,27,17
267,4,3,5,9,1,18,6,20,3
268,7,3,5,15,7,10,15,15,20
269,8,2,9,5,1,7,7,16,3
270,3,6,1,12,6,18,11,21,20
271,4,1,6,14,7,14,0,11,7
272,6,5,13,14,8,7,6,26,14
273,10,3,9,5,13,9,5,15,12
274,5,4,12,1,0,8,7,9,20
275,10,5,8,13,0,9,1,14,11
276,3,4,6,0,3,21,1,27,4
277,6,3,11,1,2,11,1,30,19
278,5,5,5,12,5,13,11,30,15
279,6,1,7,5,2,12,5,15,4
280,2,2,8,1,13,4,15,10,6
281,4,1,8,8,2,8,6,17,10
282,4,3,6,8,0,6,11,21,17
283,7,8,9,0,6,3,13,6,9
284,7,4,7,14,4,7,7,10,2
285,8,3,9,5,11,6,2,18,5
286,8,4,4,5,7,5,9,1,1
287,7,1,4,9,0,13,0,10,14
288,7,4,4,13,5,9,12,25,17
289,6,4,7,5,1,10,3,10,9
290,8,8,6,13,12,11,15,16,0
291,5,9,6,8,9,8,12,25,9
292,7,2,8,8,9,17,8,3,9
293,4,3,9,2,4,11,9,29,1
294,9,2,12,5,3,5,0,18,18
295,4,4,12,8,4,0,13,29,11
296,7,5,10,9,8,5,9,20,19
297,8,1,9,2,3,12,9,11,10
298,10,1,9,0,6,2,13,10,19
299,3,4,8,4,5,11,15,12,17
300,3,1,8,7,7,8,7,8,18
301,3,5,10,11,5,14,9,28,8
302,6,7,4,13,3,0,7,10,15
303,7,2,8,10,0,0,11,0,17
304,6,2,12,0,12,19,10,9,1
305,6,7,9,4,3,11,10,18,14
306,5,2,7,10,6,13,10,18,20
307,5,4,11,9,8,15,1,25,8
308,4,1,9,0,0,21,0,17,10
309,9,5,13,11,9,10,10,5,12
310,5,4,9,6,2,16,9,21,0
311,4,6,9,6,1,10,0,8,4
312,5,4,12,14,0,21,4,23,18
313,5,8,9,11,7,4,11,7,17
314,7,2,10,12,6,2,13,19,17
315,10,4,7,4,4,11,10,29,1
316,7,5,4,8,8,6,14,9,17
317,10,5,8,9,0,6,15,28,16
318,8,3,9,3,0,3,2,18,5
319,8,4,12,7,9,10,0,19,4
320,7,6,6,6,12,4,8,14,17
321,6,4,9,13,7,0,15,22,2
322,5,2,5,0,5,18,0,28,7
323,8,5,5,5,0,10,7,10,20
324,6,2,5,3,6,4,7,14,6
325,5,5,10,6,10,13,13,20,5
326,5,1,4,5,9,9,4,24,0
327,4,1,9,9,10,3,7,4,5
328,7,3,6,2,3,9,6,17,13
329,6,7,3,3,6,19,12,2,0
330,5,1,6,2,0,3,12,12,17
331,6,1,11,8,1,0,8,30,17
332,5,2,7,2,3,8,8,28,17
333,6,3,5,20,4,24,4,24,15
334,6,3,7,7,0,1,13,11,1
335,7,6,3,11,4,11,3,27,6
336,6,8,5,0,7,0,7,5,2
337,5,4,6,6,12,23,11,1,17
338,3,2,10,8,10,11,8,28,10
339,6,3,11,6,5,8,13,8,18
340,2,3,7,9,7,7,7,29,18
341,9,2,5,0,3,0,4,15,18
342,5,2,13,15,4,11,0,16,12
343,7,1,9,5,0,0,12,26,18
344,5,1,9,14,8,18,9,26,2
345,8,6,9,19,0,21,3,25,4
346,4,5,2,0,0,9,0,0,9
347,10,2,6,0,0,13,3,9,9
348,9,4,5,6,0,19,14,4,10
349,6,6,4,5,10,10,4,6,18
350,8,3,6,16,0,0,12,8,8
351,7,2,3,3,5,13,14,24,17
352,5,4,6,12,8,2,15,24,4
353,5,4,3,6,12,15,13,14,6
354,2,7,5,7,2,7,2,12,7
355,7,5,8,9,6,10,9,30,16
356,5,1,5,9,11,13,11,30,5
357,7,4,6,9,8,15,6,6,3
358,6,1,3,11,6,10,6,2,12
359,7,5,10,9,0,17,13,0,0
360,5,3,9,0,4,19,15,26,8
361,8,4,9,8,4,2,6,29,8
362,4,3,10,24,5,3,4,29,4
363,4,2,4,5,0,6,8,1,7
364,6,4,11,5,7,0,9,3,6
365,8,2,7,11,1,8,9,18,1
366,10,6,4,8,5,20,14,10,5
367,10,6,8,0,8,19,11,9,6
368,5,3,6,6,9,2,6,10,4
369,7,1,11,7,1,2,7,9,11
370,9,2,4,3,6,17,15,16,18
371,6,4,7,15,6,10,0,16,10
372,8,7,7,12,0,16,2,0,10
373,9,4,13,3,3,11,11,27,7
374,7,2,6,10,5,14,15,15,7
375,5,4,11,4,0,5,13,24,1
376,2,8,5,15,4,13,15,11,14
377,7,4,11,6,4,1,11,11,4
378,6,4,8,10,2,21,10,0,10
379,9,1,11,2,3,13,11,16,18
380,6,2,8,7,12,0,14,28,3
381,8,5,10,14,7,0,3,16,2
382,8,5,3,6,13,4,12,19,1
383,5,4,7,16,6,3,1,26,14
384,8,4,5,14,3,21,10,14,5
385,8,5,9,13,2,27,11,7,2
