id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,rendimiento_futuro_predicho
1,7.2,6,8,9,4,0,10,0,11,8.69,8.555908888888887
2,5.62,3,5,7,4,5,11,28,3,7.11,7.358039567099569
3,7.16,1,6,0,2,6,7,20,6,6.63,7.086907301587302
4,9.27,2,9,9,0,14,11,4,18,9.69,9.648405274543466
5,6.1,3,9,5,6,0,4,13,18,7.15,7.507040456349205
6,7.41,4,8,0,11,9,10,2,15,7.72,7.89877847582973
7,7.24,6,7,17,1,5,5,9,12,9.45,9.258026657647909
8,9.71,4,11,9,10,14,1,24,17,9.88,9.82272202959397
9,0.0,2,8,7,0,21,14,25,20,4.33,4.497903212759461
10,6.33,3,4,6,9,12,8,24,18,8.26,8.4373560515873
11,7.38,6,10,10,0,13,11,29,9,8.95,9.062530847069596
12,3.56,3,7,7,3,8,6,7,0,7.22,6.807735057720059
13,5.55,3,6,3,0,13,15,11,8,6.87,7.057229179292935
14,5.56,2,9,11,3,13,4,3,19,8.96,8.84225347943723
15,0.0,4,7,2,0,4,1,10,9,4.25,4.288125793650796
16,5.71,1,3,8,1,7,4,0,17,8.31,8.192443493867243
17,0.0,2,4,20,0,11,10,6,12,5.14,4.843723275613275
18,7.76,1,7,6,3,0,12,0,16,8.23,8.205077394688644
19,8.48,6,5,27,4,17,2,21,1,9.94,9.892551682900443
20,0.0,9,6,11,0,6,8,13,17,4.35,4.368381443001443
21,5.39,1,8,13,5,0,11,13,5,7.7,7.747372095959596
22,8.03,5,7,11,10,8,0,27,19,9.56,9.413801571067818
23,4.62,5,8,1,2,16,7,12,0,7.26,7.114053873626375
24,4.88,3,8,6,8,15,0,23,11,8.56,8.149429702380957
25,10.0,1,6,3,6,7,8,17,5,9.63,9.590889604102793
26,6.44,1,8,5,12,9,8,19,0,8.99,8.763322180735935
27,8.91,4,12,2,9,10,13,25,19,8.56,8.573236607142862
28,6.27,6,11,1,7,19,10,26,7,8.04,7.952308138528139
29,5.08,3,5,16,2,8,12,0,12,8.42,8.087459094516596
30,0.0,4,10,10,0,0,0,22,7,4.41,4.5025261273448764
31,6.25,3,4,14,10,4,2,24,14,8.99,8.795712308590101
32,7.94,4,7,14,0,0,1,29,16,8.99,8.91597896145521
33,9.63,6,4,1,10,0,13,19,6,8.66,8.266945615079369
34,0.0,4,9,0,0,17,10,14,0,4.21,4.426425099206351
35,6.79,2,9,8,13,0,8,22,11,8.31,8.237202103174608
36,6.12,3,5,3,12,0,5,25,15,6.76,7.064668255494501
37,5.48,4,12,14,5,3,14,22,8,7.4,7.624066740620492
38,7.16,2,3,6,5,17,4,21,11,9.41,9.34167202824953
39,8.76,3,8,4,9,14,11,2,15,9.61,9.569496520935958
40,6.75,2,4,4,11,7,0,20,10,8.96,8.861665331678127
41,9.23,6,10,16,5,11,7,22,6,9.87,9.839955647920085
42,9.58,4,10,10,3,12,7,18,3,9.86,9.848706626984123
43,0.0,4,9,11,0,10,7,25,11,4.47,4.536919285714287
44,7.52,2,6,9,13,1,1,27,12,9.19,9.078510804195803
45,10.0,3,7,5,1,0,13,8,3,9.38,9.160794327755577
