id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro
1,7,5,10,5,3,0,1,0,11,6.5
2,4,6,6,12,12,15,13,19,12,7.9
3,4,1,1,6,0,6,4,17,19,4.4
4,5,3,10,4,0,8,0,27,18,4.8
5,10,5,7,9,2,7,12,24,16,9.5
6,6,2,10,12,4,17,3,17,2,7.1
7,5,2,4,6,3,18,2,5,1,5.8
8,7,1,13,11,2,19,7,16,14,7.2
9,6,2,9,11,6,2,0,16,11,5.6
10,5,5,6,9,6,19,9,19,18,8.0
11,5,4,11,8,0,0,3,14,0,4.9
12,6,1,9,9,2,10,13,29,2,5.4
13,6,3,9,5,7,11,15,6,7,6.2
14,6,3,1,0,0,3,0,22,6,4.5
15,6,2,10,0,0,9,3,1,4,4.4
16,6,1,6,12,6,4,15,3,13,5.6
17,4,5,8,10,5,7,3,7,17,5.8
18,8,4,6,5,0,6,3,29,20,7.6
19,7,5,11,5,8,15,0,25,16,8.4
20,4,3,15,11,0,18,12,30,14,5.4
21,6,4,14,5,0,13,1,30,12,6.1
22,6,2,11,13,2,12,3,27,11,6.4
23,6,1,12,12,4,8,6,8,11,5.5
24,8,1,10,14,13,14,10,21,19,8.6
25,7,4,7,5,5,0,7,0,5,6.3
26,8,6,7,10,8,13,13,19,8,9.5
27,4,6,5,3,7,4,4,9,6,5.3
28,6,3,10,11,0,4,5,24,15,5.8
29,2,5,10,11,4,10,6,2,6,4.8
30,9,5,6,13,3,4,0,30,10,9.3
31,8,3,4,8,5,7,5,11,19,8.1
32,5,7,4,6,6,10,15,23,17,7.7
33,5,2,5,18,3,21,2,3,20,7.5
34,5,2,6,5,0,19,13,21,5,5.5
35,5,6,1,0,0,0,11,10,14,4.6
36,4,4,12,10,3,15,4,19,11,5.7
37,4,6,5,4,4,1,1,13,16,5.1
38,8,2,6,7,12,4,8,4,5,7.5
39,5,5,7,10,1,20,10,13,12,7.8
40,9,5,6,12,0,6,6,28,7,9.3
41,7,4,10,12,5,17,2,1,4,8.8
42,7,5,6,7,0,17,8,1,14,8.6
43,9,1,7,9,7,6,15,29,13,7.9
44,10,1,11,11,3,0,3,3,10,7.9
