id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,Riesgo de rotacion,Riesgo de despido,Riesgo de renuncia
1,7,5,10,5,3,0,1,0,11,6.5,bajo,bajo,bajo
2,4,6,6,12,12,15,13,19,12,7.9,alto,alto,alto
3,4,1,1,6,0,6,4,17,19,4.4,alto,alto,alto
4,5,3,10,4,0,8,0,27,18,4.8,alto,alto,alto
5,10,5,7,9,2,7,12,24,16,9.5,alto,alto,alto
6,6,2,10,12,4,17,3,17,2,7.1,bajo,bajo,medio
7,5,2,4,6,3,18,2,5,1,5.8,bajo,bajo,bajo
8,7,1,13,11,2,19,7,16,14,7.2,medio,medio,alto
9,6,2,9,11,6,2,0,16,11,5.6,medio,medio,alto
10,5,5,6,9,6,19,9,19,18,8.0,alto,alto,alto
11,5,4,11,8,0,0,3,14,0,4.9,bajo,medio,medio
12,6,1,9,9,2,10,13,29,2,5.4,alto,alto,alto
13,6,3,9,5,7,11,15,6,7,6.2,medio,medio,alto
14,6,3,1,0,0,3,0,22,6,4.5,medio,medio,alto
15,6,2,10,0,0,9,3,1,4,4.4,bajo,bajo,bajo
16,6,1,6,12,6,4,15,3,13,5.6,medio,alto,alto
17,4,5,8,10,5,7,3,7,17,5.8,medio,alto,alto
18,8,4,6,5,0,6,3,29,20,7.6,alto,alto,alto
19,7,5,11,5,8,15,0,25,16,8.4,medio,medio,alto
20,4,3,15,11,0,18,12,30,14,5.4,alto,alto,alto
21,6,4,14,5,0,13,1,30,12,6.1,alto,alto,alto
22,6,2,11,13,2,12,3,27,11,6.4,medio,medio,alto
23,6,1,12,12,4,8,6,8,11,5.5,medio,alto,alto
24,8,1,10,14,13,14,10,21,19,8.6,alto,alto,alto
25,7,4,7,5,5,0,7,0,5,6.3,bajo,bajo,bajo
26,8,6,7,10,8,13,13,19,8,9.5,medio,medio,alto
27,4,6,5,3,7,4,4,9,6,5.3,bajo,medio,medio
28,6,3,10,11,0,4,5,24,15,5.8,alto,alto,alto
29,2,5,10,11,4,10,6,2,6,4.8,bajo,medio,medio
30,9,5,6,13,3,4,0,30,10,9.3,medio,medio,alto
31,8,3,4,8,5,7,5,11,19,8.1,medio,medio,alto
32,5,7,4,6,6,10,15,23,17,7.7,alto,alto,alto
33,5,2,5,18,3,21,2,3,20,7.5,medio,medio,alto
34,5,2,6,5,0,19,13,21,5,5.5,alto,alto,alto
35,5,6,1,0,0,0,11,10,14,4.6,medio,alto,alto
36,4,4,12,10,3,15,4,19,11,5.7,medio,alto,alto
37,4,6,5,4,4,1,1,13,16,5.1,medio,alto,alto
38,8,2,6,7,12,4,8,4,5,7.5,bajo,bajo,medio
39,5,5,7,10,1,20,10,13,12,7.8,medio,alto,alto
40,9,5,6,12,0,6,6,28,7,9.3,medio,medio,alto
41,7,4,10,12,5,17,2,1,4,8.8,bajo,bajo,medio
42,7,5,6,7,0,17,8,1,14,8.6,bajo,bajo,alto
43,9,1,7,9,7,6,15,29,13,7.9,alto,alto,alto
44,10,1,11,11,3,0,3,3,10,7.9,bajo,bajo,medio
45,6,5,8,0,2,22,12,29,13,6.3,alto,alto,alto
46,8,2,9,8,4,0,14,14,14,6.4,alto,alto,alto
47,5,1,8,0,3,7,0,29,0,4.2,medio,medio,alto
48,7,4,10,3,2,6,1,26,7,6.2,medio,medio,alto
49,7,5,6,5,7,8,14,29,17,7.9,alto,alto,alto
50,8,3,3,7,3,14,10,1,5,8.6,bajo,bajo,medio
51,1,3,13,3,0,6,5,26,5,4.1,alto,alto,alto
52,8,4,8,3,6,10,1,1,18,7.9,bajo,bajo,medio
53,6,8,3,2,10,9,8,26,16,8.4,alto,alto,alto
54,4,2,9,12,6,4,15,28,4,4.7,alto,alto,alto
55,6,4,8,3,4,10,1,6,9,6.0,bajo,medio,medio
56,3,5,10,0,10,0,9,14,19,4.2,alto,alto,alto
57,7,4,5,20,6,9,6,4,6,9.0,bajo,bajo,medio
58,3,1,5,0,2,2,11,2,20,4.0,medio,alto,alto
59,8,5,13,2,3,19,12,25,4,8.5,medio,medio,alto
60,8,1,2,2,15,17,15,1,9,7.9,medio,medio,alto
61,7,2,8,5,4,0,4,22,0,5.3,bajo,medio,alto
62,4,5,13,6,9,15,12,15,9,6.0,alto,alto,alto
63,7,7,7,0,5,10,12,18,5,7.2,medio,medio,alto
64,8,2,7,6,2,19,15,5,1,8.2,bajo,bajo,medio
65,9,2,9,8,9,32,11,30,5,9.7,alto,alto,alto
66,7,3,9,2,5,8,12,12,9,5.9,medio,alto,alto
67,4,3,7,6,4,7,3,21,7,4.7,medio,alto,alto
68,5,4,5,12,3,0,13,2,7,5.7,medio,alto,alto
69,8,1,6,3,5,10,5,11,6,6.4,bajo,bajo,medio
70,7,1,3,3,4,0,0,22,3,5.0,bajo,medio,medio
71,2,1,8,10,5,6,8,26,18,4.2,alto,alto,alto
72,10,4,7,9,3,14,3,17,20,9.6,medio,medio,alto
73,7,4,9,0,4,1,7,20,19,4.9,alto,alto,alto
74,6,4,10,7,11,16,2,17,3,7.8,bajo,bajo,medio
75,2,4,2,12,2,11,9,18,10,4.8,alto,alto,alto
76,6,4,9,4,7,12,3,19,12,6.6,medio,medio,alto
77,6,6,13,8,2,8,1,16,13,7.3,medio,medio,alto
78,8,5,9,8,2,11,8,0,15,8.8,bajo,bajo,medio
79,6,4,7,4,6,8,14,9,5,6.2,medio,medio,alto
80,5,3,8,3,6,5,11,12,19,4.8,alto,alto,alto
81,5,1,6,7,11,2,4,2,11,4.7,bajo,medio,medio
82,4,6,6,5,2,8,7,26,6,5.6,alto,alto,alto
83,8,2,4,9,7,5,2,30,5,7.7,medio,medio,alto
84,7,1,8,12,4,18,7,27,8,7.7,medio,medio,alto
85,5,5,2,5,2,6,11,6,6,5.9,medio,alto,alto
86,7,4,11,4,12,7,9,0,9,7.1,bajo,bajo,medio
87,6,2,6,13,5,7,8,5,2,6.4,bajo,bajo,medio
88,9,3,5,11,3,20,14,26,5,9.5,alto,alto,alto
89,6,1,10,6,0,13,4,16,7,5.2,medio,medio,alto
90,9,1,9,7,0,17,8,2,8,8.2,bajo,bajo,medio
91,7,4,6,14,1,7,3,7,17,8.1,bajo,bajo,alto
92,5,2,8,7,8,16,13,11,11,5.9,medio,alto,alto
93,9,2,9,4,2,13,1,14,9,7.9,bajo,bajo,medio
94,6,5,11,3,9,0,11,19,6,5.6,medio,alto,alto
95,8,4,5,13,0,2,7,27,15,8.3,alto,alto,alto
96,3,2,13,4,12,5,3,9,2,4.2,bajo,medio,medio
97,6,4,10,8,2,21,14,25,14,7.9,alto,alto,alto
98,8,3,7,16,0,22,1,9,5,9.4,bajo,bajo,medio
99,7,3,8,5,0,12,11,23,8,6.7,alto,alto,alto
100,5,5,6,10,1,7,4,11,16,6.4,medio,medio,alto
101,8,4,8,4,3,14,7,21,20,8.3,alto,alto,alto
102,7,1,3,12,1,16,11,11,8,7.6,medio,medio,alto
103,2,6,8,4,0,10,13,11,7,4.5,medio,alto,alto
104,8,1,10,4,4,17,5,10,2,7.1,bajo,bajo,medio
105,6,1,5,9,12,5,13,3,1,5.8,bajo,medio,medio
106,3,2,3,9,6,7,11,6,8,4.5,medio,alto,alto
107,4,2,11,11,10,9,14,28,8,5.0,alto,alto,alto
108,8,5,6,11,12,10,0,14,6,9.4,bajo,bajo,alto
