id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,rendimiento_futuro_predicho
1,7,5,10,5,3,0,1,0,11,6.5,6.649904527417025
2,4,6,6,12,12,15,13,19,12,7.9,7.413854365079363
3,4,1,1,6,0,6,4,17,19,4.4,4.511348412698414
4,5,3,10,4,0,8,0,27,18,4.8,4.827939366883117
5,10,5,7,9,2,7,12,24,16,9.5,9.382874747474737
6,6,2,10,12,4,17,3,17,2,7.1,7.049955952380954
7,5,2,4,6,3,18,2,5,1,5.8,5.844545238095243
8,7,1,13,11,2,19,7,16,14,7.2,7.5068436507936465
9,6,2,9,11,6,2,0,16,11,5.6,5.854239066489071
10,5,5,6,9,6,19,9,19,18,8.0,7.724239195526695
11,5,4,11,8,0,0,3,14,0,4.9,5.211359722222219
12,6,1,9,9,2,10,13,29,2,5.4,5.585650811688308
13,6,3,9,5,7,11,15,6,7,6.2,6.0787628038628
14,6,3,1,0,0,3,0,22,6,4.5,4.705049007936508
15,6,2,10,0,0,9,3,1,4,4.4,4.755973015873015
16,6,1,6,12,6,4,15,3,13,5.6,5.728756565656568
17,4,5,8,10,5,7,3,7,17,5.8,5.681362896825394
18,8,4,6,5,0,6,3,29,20,7.6,7.5781184523809495
19,7,5,11,5,8,15,0,25,16,8.4,7.9976335678210715
20,4,3,15,11,0,18,12,30,14,5.4,5.5762553571428555
21,6,4,14,5,0,13,1,30,12,6.1,6.339575586219337
22,6,2,11,13,2,12,3,27,11,6.4,6.395062301587303
23,6,1,12,12,4,8,6,8,11,5.5,5.702464682539683
24,8,1,10,14,13,14,10,21,19,8.6,8.413451767676762
25,7,4,7,5,5,0,7,0,5,6.3,6.314973088023084
26,8,6,7,10,8,13,13,19,8,9.5,9.40045407509157
27,4,6,5,3,7,4,4,9,6,5.3,5.531153571428572
28,6,3,10,11,0,4,5,24,15,5.8,5.952491185897437
29,2,5,10,11,4,10,6,2,6,4.8,4.957480465367964
30,9,5,6,13,3,4,0,30,10,9.3,9.121147041847038
31,8,3,4,8,5,7,5,11,19,8.1,8.041867063492067
32,5,7,4,6,6,10,15,23,17,7.7,7.296678409090913
33,5,2,5,18,3,21,2,3,20,7.5,6.9705924603174605
34,5,2,6,5,0,19,13,21,5,5.5,5.620140079365081
35,5,6,1,0,0,0,11,10,14,4.6,5.078231349206345
36,4,4,12,10,3,15,4,19,11,5.7,5.743454365079368
37,4,6,5,4,4,1,1,13,16,5.1,5.201140873015871
38,8,2,6,7,12,4,8,4,5,7.5,7.387149404761906
39,5,5,7,10,1,20,10,13,12,7.8,7.768874603174606
40,9,5,6,12,0,6,6,28,7,9.3,9.176245797258293
41,7,4,10,12,5,17,2,1,4,8.8,8.628808531746031
42,7,5,6,7,0,17,8,1,14,8.6,8.62045436507936
43,9,1,7,9,7,6,15,29,13,7.9,7.781419642857141
44,10,1,11,11,3,0,3,3,10,7.9,7.199703715728714
45,6,5,8,0,2,22,12,29,13,6.3,6.402198304473305
46,8,2,9,8,4,0,14,14,14,6.4,6.867472168109665
47,5,1,8,0,3,7,0,29,0,4.2,4.342453354978353
48,7,4,10,3,2,6,1,26,7,6.2,6.253753264790763
49,7,5,6,5,7,8,14,29,17,7.9,7.809691468253968
50,8,3,3,7,3,14,10,1,5,8.6,8.443327182539683
51,1,3,13,3,0,6,5,26,5,4.1,4.23943088023088
52,8,4,8,3,6,10,1,1,18,7.9,7.8820630952381
53,6,8,3,2,10,9,8,26,16,8.4,7.563912049062049
54,4,2,9,12,6,4,15,28,4,4.7,4.691618650793653
55,6,4,8,3,4,10,1,6,9,6.0,6.127811613386613
56,3,5,10,0,10,0,9,14,19,4.2,4.4697945707070685
57,7,4,5,20,6,9,6,4,6,9.0,8.77395104617605
58,3,1,5,0,2,2,11,2,20,4.0,4.160625974025976
59,8,5,13,2,3,19,12,25,4,8.5,8.395573845598841
60,8,1,2,2,15,17,15,1,9,7.9,7.430264303751809
61,7,2,8,5,4,0,4,22,0,5.3,5.560813059163063
62,4,5,13,6,9,15,12,15,9,6.0,5.999657539682538
63,7,7,7,0,5,10,12,18,5,7.2,7.259402579365078
64,8,2,7,6,2,19,15,5,1,8.2,8.05243373570874
65,9,2,9,8,9,32,11,30,5,9.7,9.109889886502382
66,7,3,9,2,5,8,12,12,9,5.9,6.047643253968253
67,4,3,7,6,4,7,3,21,7,4.7,4.729770634920636
68,5,4,5,12,3,0,13,2,7,5.7,5.63092341269841
69,8,1,6,3,5,10,5,11,6,6.4,6.687313780663782
70,7,1,3,3,4,0,0,22,3,5.0,5.2174192460317474
71,2,1,8,10,5,6,8,26,18,4.2,4.235879617604614
72,10,4,7,9,3,14,3,17,20,9.6,9.470285317460307
73,7,4,9,0,4,1,7,20,19,4.9,5.374499873737375
74,6,4,10,7,11,16,2,17,3,7.8,7.698858964646466
75,2,4,2,12,2,11,9,18,10,4.8,5.0690051587301586
76,6,4,9,4,7,12,3,19,12,6.6,6.534960064935063
77,6,6,13,8,2,8,1,16,13,7.3,7.379111868686871
78,8,5,9,8,2,11,8,0,15,8.8,8.768795977633477
79,6,4,7,4,6,8,14,9,5,6.2,6.2076633089133075
80,5,3,8,3,6,5,11,12,19,4.8,4.7385748015872995
81,5,1,6,7,11,2,4,2,11,4.7,4.8226321789321815
82,4,6,6,5,2,8,7,26,6,5.6,5.607711706349203
83,8,2,4,9,7,5,2,30,5,7.7,7.651508928571422
84,7,1,8,12,4,18,7,27,8,7.7,7.650639628427131
85,5,5,2,5,2,6,11,6,6,5.9,5.926405862193365
86,7,4,11,4,12,7,9,0,9,7.1,6.94830862193362
87,6,2,6,13,5,7,8,5,2,6.4,6.292748247585751
88,9,3,5,11,3,20,14,26,5,9.5,9.31036944444444
89,6,1,10,6,0,13,4,16,7,5.2,5.390452777777778
90,9,1,9,7,0,17,8,2,8,8.2,8.139994449994449
91,7,4,6,14,1,7,3,7,17,8.1,8.265481746031746
92,5,2,8,7,8,16,13,11,11,5.9,5.9738039682539705
93,9,2,9,4,2,13,1,14,9,7.9,7.9191812645687625
94,6,5,11,3,9,0,11,19,6,5.6,5.537261075036074
95,8,4,5,13,0,2,7,27,15,8.3,8.423168253968257
96,3,2,13,4,12,5,3,9,2,4.2,4.422405808080811
97,6,4,10,8,2,21,14,25,14,7.9,7.738605158730161
98,8,3,7,16,0,22,1,9,5,9.4,9.215730609668109
99,7,3,8,5,0,12,11,23,8,6.7,6.719433531746032
100,5,5,6,10,1,7,4,11,16,6.4,6.233719354256851
101,8,4,8,4,3,14,7,21,20,8.3,8.226004202741704
102,7,1,3,12,1,16,11,11,8,7.6,7.650785263347764
103,2,6,8,4,0,10,13,11,7,4.5,4.692128679653676
104,8,1,10,4,4,17,5,10,2,7.1,7.432547408147409
105,6,1,5,9,12,5,13,3,1,5.8,5.791686507936509
106,3,2,3,9,6,7,11,6,8,4.5,4.42978409090909
107,4,2,11,11,10,9,14,28,8,5.0,4.976309722222221
108,8,5,6,11,12,10,0,14,6,9.4,9.27383526334776
109,8,3,4,9,0,16,2,10,8,8.7,8.604902579365085
110,8,4,8,11,4,3,15,3,14,8.2,8.26138432539682
111,7,5,2,15,0,7,1,14,7,8.7,8.726606493506488
112,4,8,6,4,6,4,9,2,0,6.2,5.723713492063493
113,3,5,5,13,1,17,7,6,1,6.2,6.5097390873015835
