id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas
1,0.0,3,5,10,0,11,11,24,19
2,5.83,4,7,11,7,13,11,22,5
3,6.32,4,5,6,11,8,14,24,18
4,5.88,4,10,8,10,19,14,18,17
5,4.06,3,6,10,0,22,10,12,9
6,7.96,4,3,5,4,4,13,26,17
7,10.0,1,10,7,7,19,8,17,10
8,0.0,1,10,0,0,0,5,13,14
9,5.2,5,11,11,3,4,10,25,20
10,10.0,5,6,13,11,15,2,30,9
11,9.92,2,11,0,5,21,9,3,14
12,5.1,1,6,0,5,8,2,12,11
13,10.0,5,9,6,0,3,4,14,5
14,5.56,6,4,0,7,9,2,25,5
15,5.26,4,6,10,4,7,1,2,16
16,4.53,2,12,13,2,7,8,30,10
17,0.0,1,12,9,0,13,13,28,5
18,4.53,3,8,10,5,11,10,9,13
19,5.2,5,5,10,9,24,0,2,9
20,0.0,4,3,7,0,11,15,26,15
21,6.0,3,6,12,0,20,13,8,5
22,5.21,1,15,7,0,11,13,8,18
23,5.32,1,9,0,6,12,14,24,19
24,8.66,4,8,0,8,10,9,4,0
25,6.38,2,4,9,2,9,5,21,17
26,7.16,3,10,9,0,3,5,21,20
27,9.25,1,14,6,4,12,0,1,8
28,8.74,2,9,14,3,15,2,12,11
29,8.56,3,6,4,0,7,3,3,11
30,6.97,5,9,14,3,17,10,25,7
31,9.16,3,7,8,0,16,9,13,20
32,10.0,5,7,0,3,13,6,22,20
33,6.52,6,5,11,0,19,3,6,0
34,5.12,6,7,1,8,0,3,30,3
35,2.76,4,5,8,2,10,5,13,19
36,4.86,3,9,15,4,1,3,11,12
37,7.15,3,6,11,3,10,10,0,10
38,0.0,6,11,10,0,8,8,23,10
39,0.0,3,12,8,0,16,10,10,4
40,6.32,1,4,9,4,0,9,23,20
41,6.24,3,8,19,2,10,3,14,6
42,7.21,5,5,4,5,22,1,2,8
43,6.81,4,12,10,6,11,9,26,5
44,3.17,1,4,13,6,0,6,11,6
45,6.39,3,4,5,3,4,13,8,2
46,8.48,1,5,4,3,10,10,2,3
47,0.0,1,4,0,0,0,4,16,18
48,5.2,5,12,5,9,5,3,19,15
49,4.8,4,15,9,4,17,10,22,17
50,5.6,4,8,11,7,18,1,17,1
51,6.0,1,7,10,0,17,4,30,2
52,7.61,3,5,8,6,9,6,2,0
53,7.47,1,8,0,3,0,5,16,17
54,5.1,2,7,6,6,23,5,16,12
55,10.0,6,15,6,10,14,12,19,11
56,6.58,6,6,10,6,6,14,18,1
57,8.79,4,7,10,2,17,15,30,17
58,0.0,5,7,4,0,12,9,7,0
59,0.0,3,11,9,0,10,14,27,15
60,8.87,3,10,5,7,3,9,24,17
61,9.52,2,6,7,0,7,8,3,18
62,5.0,4,7,11,2,6,13,5,20
63,2.28,5,3,11,3,2,4,17,17
64,7.64,6,6,7,12,7,0,28,10
65,0.0,1,10,14,0,19,9,19,14
66,6.25,2,8,16,3,0,4,0,20
67,0.0,2,9,8,0,5,6,11,14
68,6.13,1,4,0,1,0,13,5,13
69,6.36,2,12,11,9,9,0,15,16
70,8.4,4,12,9,5,13,8,3,9
71,0.0,2,12,2,0,0,8,0,2
72,0.0,4,10,3,0,0,2,6,8
73,5.83,4,8,20,9,8,12,28,16
74,7.32,3,4,0,1,0,12,6,18
75,10.0,8,9,10,0,1,13,1,17
76,3.66,1,5,6,12,3,11,12,12
77,8.76,7,8,2,4,0,3,18,14
78,8.65,3,7,1,3,10,14,25,6
79,0.0,1,6,14,0,0,2,30,8
80,5.97,2,11,6,0,0,14,0,12
81,8.43,4,8,8,1,3,7,6,1
82,7.85,2,12,9,8,12,0,25,20
83,4.94,5,12,2,4,5,2,15,6
84,8.68,3,14,15,4,10,15,9,12
85,7.37,3,5,8,10,11,14,25,18
86,7.06,4,7,0,7,3,14,16,2
87,0.0,2,6,1,0,5,4,10,6
88,0.0,1,5,4,0,13,5,23,11
89,6.0,3,7,12,5,18,4,7,8
90,7.06,5,10,7,7,10,6,19,20
91,4.54,3,8,10,8,8,8,24,0
92,8.09,3,8,15,7,9,5,14,12
93,8.07,3,11,15,7,22,3,0,12
94,4.51,3,7,7,12,17,1,29,10
95,4.27,2,9,6,3,13,10,9,10
96,2.62,2,11,0,2,0,15,12,15
97,0.0,4,7,0,0,11,2,7,15
98,0.0,7,10,19,0,15,12,14,16
99,6.95,2,6,8,5,13,8,6,6
100,0.0,4,7,3,0,7,4,22,11
101,0.0,5,4,5,0,13,2,0,14
102,7.41,4,5,0,2,0,3,14,7
103,5.45,3,10,5,7,22,9,23,0
104,5.34,7,12,13,3,9,0,26,10
105,5.13,4,9,0,10,8,3,27,0
106,5.01,5,11,4,5,12,6,21,14
107,6.39,2,9,3,7,8,15,15,16
108,5.45,2,7,6,11,3,15,28,18
109,5.65,9,9,7,6,0,5,2,17
110,5.74,5,3,6,8,0,2,18,15
111,8.31,5,5,4,2,15,3,19,13
112,6.09,7,6,10,0,22,4,29,5
113,0.0,5,9,11,0,11,7,11,20
114,8.57,3,10,8,0,8,6,23,10
115,6.39,3,6,0,9,6,13,13,20
116,8.25,5,15,3,11,15,11,19,17
117,3.91,4,2,8,0,9,15,13,15
118,7.57,2,11,8,3,0,14,30,17
119,5.79,5,10,3,2,6,5,6,2
120,5.84,3,9,10,7,16,15,28,18
121,0.0,3,1,5,0,10,1,28,16
122,0.0,1,9,12,0,1,6,24,15
123,8.32,1,8,2,7,12,15,30,19
124,5.49,3,6,0,0,9,11,20,5
125,0.0,1,4,0,0,9,2,1,9
126,10.0,8,6,10,7,17,2,11,17
127,7.21,6,5,0,6,4,5,19,2
128,10.0,4,6,7,0,2,1,13,1
129,6.18,2,4,10,1,17,14,29,0
130,0.0,6,9,8,0,5,13,15,18
131,6.02,1,8,10,6,7,14,11,20
132,5.28,4,5,6,4,18,5,12,10
133,7.38,4,9,11,0,13,15,23,12
134,8.04,3,9,13,0,21,11,21,0
135,5.8,5,15,1,4,15,10,1,15
136,0.0,4,8,1,0,13,6,17,3
137,7.51,4,10,2,2,24,10,28,8
138,5.83,5,4,4,7,22,8,26,9
139,3.58,7,11,7,4,10,0,15,2
140,7.28,3,9,5,3,1,5,4,13
141,0.0,3,8,13,0,3,11,13,20
142,6.95,5,10,3,8,4,11,4,0
143,6.0,3,10,2,0,6,12,29,9
144,7.6,4,7,1,4,16,11,4,17
145,0.0,6,7,7,0,0,4,14,14
146,8.85,2,8,17,7,14,0,28,8
147,6.61,2,7,17,3,9,9,8,9
148,9.72,3,6,1,11,15,6,6,15
149,7.61,3,6,7,2,19,9,19,3
150,5.07,2,11,11,0,0,1,15,16
151,0.0,1,12,11,0,11,10,7,14
152,9.95,1,6,3,8,0,15,10,10
153,6.67,5,9,7,4,8,6,12,6
154,9.53,3,9,0,15,1,2,24,7
155,0.0,6,5,7,0,18,13,21,5
156,0.0,2,8,6,0,13,4,5,0
157,0.0,6,7,5,0,19,15,3,13
158,0.0,2,7,14,0,16,2,17,14
159,7.68,5,5,3,8,0,12,6,16
160,7.37,1,8,11,5,14,6,19,0
161,7.73,5,3,5,0,1,4,28,5
162,3.42,4,4,6,5,17,13,18,16
163,0.0,1,10,10,0,5,10,19,7
164,8.63,3,1,19,4,8,9,25,8
165,4.52,5,3,10,5,0,7,29,3
166,6.72,4,6,0,3,7,4,0,8
167,3.77,1,10,10,9,12,5,10,20
168,5.59,6,6,1,9,0,15,22,5
169,7.54,4,8,8,2,25,12,6,8
170,0.0,4,7,13,0,0,1,12,12
171,7.45,6,9,14,4,1,14,29,2
172,7.79,7,8,3,0,18,12,16,16
173,4.0,2,7,17,0,0,10,7,13
174,3.18,2,9,5,0,17,2,10,7
175,9.33,6,9,2,0,9,15,5,2
176,0.0,3,9,9,0,0,0,16,13
177,0.0,2,3,11,0,0,1,30,1
178,8.8,4,10,8,3,15,0,7,1
179,8.28,6,7,1,2,0,6,14,20
180,3.97,7,7,9,3,3,0,18,3
181,6.87,3,6,2,5,4,2,9,13
182,4.77,2,9,12,7,11,14,14,1
183,2.39,1,10,5,4,19,2,2,4
184,0.0,4,7,12,0,12,10,0,20
185,4.36,4,6,0,3,16,14,0,8
186,0.0,1,1,5,0,7,12,4,18
187,9.4,4,7,5,6,14,12,5,11
188,5.03,3,9,16,9,8,9,18,5
189,9.47,3,11,10,2,0,15,19,17
