id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro,rendimiento_futuro_predicho
1,0.0,3,5,10,0,11,11,24,19,4.28,4.334411973304475
2,5.83,4,7,11,7,13,11,22,5,8.9,8.837352103174608
3,6.32,4,5,6,11,8,14,24,18,7.39,7.380559603174604
4,5.88,4,10,8,10,19,14,18,17,8.69,8.483817956349208
5,4.06,3,6,10,0,22,10,12,9,8.34,8.299833412698417
6,7.96,4,3,5,4,4,13,26,17,7.67,7.849798354978353
7,10.0,1,10,7,7,19,8,17,10,9.9,9.85319966158841
8,0.0,1,10,0,0,0,5,13,14,4.05,4.11452943903319
9,5.2,5,11,11,3,4,10,25,20,6.41,6.608296597291594
10,10.0,5,6,13,11,15,2,30,9,9.94,9.889024108807858
11,9.92,2,11,0,5,21,9,3,14,9.62,8.925754576118335
12,5.1,1,6,0,5,8,2,12,11,6.0,6.162059444444445
13,10.0,5,9,6,0,3,4,14,5,9.69,9.618329742063493
14,5.56,6,4,0,7,9,2,25,5,6.46,6.451433639971142
15,5.26,4,6,10,4,7,1,2,16,8.67,8.420494069264068
16,4.53,2,12,13,2,7,8,30,10,6.99,7.292147003968252
17,0.0,1,12,9,0,13,13,28,5,4.4,4.455533448773452
18,4.53,3,8,10,5,11,10,9,13,7.74,7.649534170274171
19,5.2,5,5,10,9,24,0,2,9,9.76,9.445076248196255
20,0.0,4,3,7,0,11,15,26,15,4.18,4.229064623570879
21,6.0,3,6,12,0,20,13,8,5,9.36,9.224351468253975
22,5.21,1,15,7,0,11,13,8,18,6.93,7.077571686507938
23,5.32,1,9,0,6,12,14,24,19,4.92,5.459413551587304
24,8.66,4,8,0,8,10,9,4,0,9.14,8.570167521645027
25,6.38,2,4,9,2,9,5,21,17,8.41,8.41372823412698
26,7.16,3,10,9,0,3,5,21,20,8.09,8.206410575396824
27,9.25,1,14,6,4,12,0,1,8,9.88,9.815573501984126
